_id	sentence	sense	supersense	compound_status	_text	wordform	building	comm	organization	set_of_beliefs
church/N/br-a17/2228	Jr. seated guests . A reception was held at the church . The First Christian Church of Pampa was the setting	c1	C	simply_church	reception was held at the <span class='hit'>church</span> . The First Christian Church	church	place	NR	NR	NR
church/N/br-a17/2233	reception was held at the church . The First Christian Church of Pampa was the setting for the wedding last Sunday of Miss Marcile Marie Glison and Thomas Earl Loving Jr. , who will live at 8861 Gaston after a wedding trip to New Orleans , La .	c1	C	compound_church	NA	NA	place	NR	NR	NR
church/N/br-a18/760	party . The women 's committee of St. David 's Church will hold its annual pre-Fair pink parade , a dessert bridge and fashion show at 1 P. M. on Monday , April 17 , in the chapel assembly room , Wayne .	c2	C	simply_church	committee of St. David 's <span class='hit'>Church</span> will hold its annual pre-Fair	Church	congregation	participation	assembly	NR
church/N/br-a21/677	Funeral services for Mrs. Kowalski and her daughter , Christine , 11 , who died of burns at the same hospital Monday , have been scheduled for 10 a. m. tomorrow in St. Anne 's Catholic Church , 31978 Mound , in Warren . The mother and	c1	C	compound_church	NA	NA	place	NR	NR	NR
church/N/br-a22/1206	1 , . He was a member of the Baptist church . Survivors include two brothers , C. E. Killingsworth ,	a2	A	compound_church	NA	NA	NR	membership	NR	NR
church/N/br-a22/1283	. He was a member of the Oakland City Methodist Church and a native of Atlanta . Funeral services will be	c2	C	compound_church	NA	NA	congregation	membership	NR	NR
church/N/br-a22/307	by the state . Emory is affiliated with the Methodist Church . Some church leaders , both clerical and lay ,	a2	A	compound_church	NA	NA	NR	membership	NR	NR
church/N/br-a22/310	. Emory is affiliated with the Methodist Church . Some church leaders , both clerical and lay , have criticized the university for not taking the lead in desegregation .	a2	A	church_compound	NA	NA	NR	NR	hierarchy	NR
church/N/br-a31/1395	from 4 to 8 p. m. Sunday at First Presbyterian Church . At that time the second half of the Christian	c1	C	compound_church	NA	NA	place	NR	NR	NR
church/N/br-a31/1542	The best approach , he figured , was to try to influence young people like the high schoolers he and his wife serve as advisors at First Presbyterian Church . And he wanted to be careful that the kids	c2	C	compound_church	NA	NA	congregation	participation	NR	NR
church/N/br-a31/1594	So the Christian Youth Crusade against Communisn developed and more than 300 top teenagers and 65 adult advisers from Presbyterian churches of the area sat enthralled at the four-hour program .	b	B	simply_church	65 adult advisers from Presbyterian <span class='hit'>churches</span> of the area sat enthralled	churches	congregation	participation	NR	NR
church/N/br-a31/1753	may be set up soon . And to encourage other churches to try their own programs , Kern said this Sunday 's sessions - including the free dinner - will be open to anyone who makes reservations .	b	B	simply_church	. And to encourage other <span class='hit'>churches</span> to try their own programs	churches	congregation	participation	administration	evangelism
church/N/br-a31/1806	The need for and the way to achieve a Christian home will be stressed in special services marking National Christian Family Week in Miami area churches next week . Of particular meaning to the Charles MacWhorter	c2	C	compound_church	NA	NA	congregation	participation	NR	NR
church/N/br-a31/1842	Of particular meaning to the Charles MacWhorter family , 3181 SW 24 th Ter. , will be the Family Dedication Service planned for 10 : 50 a. m. Sunday at First Christian Church . It will be the second time the assistant manager	c1	C	compound_church	NA	NA	place	NR	NR	NR
church/N/br-a31/2087	Dade 's chief probation officer , Jack Blanton , will lead a discussion on `` The Changes in the American Family '' at 7 : 30 p. m. Sunday at Christ Lutheran Church . Mr. and Mrs. George Treadwell will be honored at	c1	C	compound_church	NA	NA	place	NR	NR	NR
church/N/br-a31/2112	Mr. and Mrs. George Treadwell will be honored at a Family Week supper and program at 6 p. m. Sunday at Trinity Methodist Church . He is the sexton of the church . A	c1	C	compound_church	NA	NA	place	NR	NR	NR
church/N/br-a31/2120	Trinity Methodist Church . He is the sexton of the church . A family worship service will follow the program at	c2	C	simply_church	is the sexton of the <span class='hit'>church</span> . A family worship service	church	congregation	NR	hierarchy	NR
church/N/br-a31/2143	45 p. m. . The outstanding family of Central Nazarene Church will be picked by ballot from among eight families during the 10 : 45 a. m. Sunday service marking National Family Week .	c2	C	compound_church	NA	NA	congregation	participation	assembly	NR
church/N/br-a31/2172	marking National Family Week . Every family of Riviera Presbyterian Church has been asked to read the Bible and pray together daily during National Christian Family Week and to undertake one project in which all members of the family participate .	c2	C	compound_church	NA	NA	congregation	participation	assembly	NR
church/N/br-a31/2212	. To start the week of special programs at the church , the Rev. John D. Henderson will preach on `` A Successful Marriage '' at 9 : 40 and 11 a. m. Sunday .	c3	C	simply_church	of special programs at the <span class='hit'>church</span> , the Rev. John D.	church	place	participation	NR	practice
church/N/br-a31/2241	and 11 a. m. Sunday . New officers of the church will be ordained and installed at the 7 : 30 p. m. service .	a2	A	simply_church	. New officers of the <span class='hit'>church</span> will be ordained and installed	church	congregation	NR	hierarchy	NR
church/N/br-a31/2280	A father and son dinner sponsored by the Men 's Club will be held at 6 : 15 p. m. Monday and the annual church picnic at 4 p. m. next Saturday . The week	b1	B	church_compound	NA	NA	congregation	participation	NR	NR
church/N/br-a35/810	closer scrutiny . For while the past needs of the Church in this country may have been adequately met by collegiate institutions , which in temper and tone closely resembled junior colleges and finishing schools , it would seem that today 's need is for the college which more closely resembles the university in its `` pursuit of excellence '' .	a2	A	simply_church	the past needs of the <span class='hit'>Church</span> in this country may have	Church	NR	NR	agentivity	NR
church/N/br-b04/1480	money and his name : Does it assail schools and churches with blanket accusations ? Does it attack other traditional American	b	B	simply_church	Does it assail schools and <span class='hit'>churches</span> with blanket accusations ? Does	churches	congregation	NR	institution	NR
church/N/br-b08/1804	But I was deeply moved by his letter of resignation as rector of St. Luke 's Church in Atlanta . It was the cry of not just	c2	C	simply_church	rector of St. Luke 's <span class='hit'>Church</span> in Atlanta . It was	Church	congregation	NR	hierarchy	NR
church/N/br-b08/1866	Imagine the searching and the prayer that lay behind the letter the rector wrote after almost a decade of service to this majestic church . `` Such a church needs vigor and vitality in	c1	C	simply_church	of service to this majestic <span class='hit'>church</span> . `` Such a church	church	material object	NR	NR	NR
church/N/br-b08/1871	of service to this majestic church . `` Such a church needs vigor and vitality in its rector and one man has only so much of these endowments '' , he told his members .	c2	C	simply_church	church . `` Such a <span class='hit'>church</span> needs vigor and vitality in	church	congregation	believers	hierarchy	NR
church/N/br-b08/1912	A minister should not stay `` beyond the time that his leadership should benefit '' his church , he wrote , `` for he becomes ordinary '' .	b	B	simply_church	leadership should benefit '' his <span class='hit'>church</span> , he wrote , ``	church	NR	believers	hierarchy	NR
church/N/br-b08/2063	A man who gives himself to God and to the believers of his church takes upon himself a life of giving . He does	a2	A	simply_church	to the believers of his <span class='hit'>church</span> takes upon himself a life	church	NR	believers	NR	devotion
church/N/br-b08/2245	We do not defeat the good ones with this cruelty , but we add to their burden , while expecting them to bestow saintliness upon us in return for ostentatious church attendance and a few bucks a week , American cash .	c3	C	church_compound	NA	NA	place	participation	NR	practice
church/N/br-b08/2363	. But how little love we give him . The church truly is not a rest home for saints , but a hospital for sinners .	c1	C	simply_church	we give him . The <span class='hit'>church</span> truly is not a rest	church	place	NR	NR	NR
church/N/br-b08/834	tonight '' , he continued . `` I leave this church with a feeling that a great weight has been lifted off my heart , I have left my grudge at the altar and forgiven my neighbor '' .	NA	NA	simply_church	. `` I leave this <span class='hit'>church</span> with a feeling that a	church	place	NR	NR	NR
church/N/br-b12/2009	In the second and third chapters of Revelation the new version retains , however , the old phrase `` angel of the church '' which Biblical scholars have previously interpreted as meaning bishop .	a1	A	simply_church	phrase `` angel of the <span class='hit'>church</span> '' which Biblical scholars have	church	NR	NR	hierarchy	doctrine
church/N/br-b12/2115	Discoveries recently made of old Biblical manuscripts in Hebrew and Greek and other ancient writings , some by the early church fathers , in themselves called for a restudy of the Bible .	a1	A	church_compound	NA	NA	NR	NR	hierarchy	doctrine
church/N/br-b12/2217	The New Testament offered to the public today is the first result of the work of a joint committee made up of representatives of the Church of England , Church of Scotland , Methodist Church , Congregational Union , Baptist Union , Presbyterian Church of England , Churches in Wales , Churches in Ireland , Society of Friends , British and Foreign Bible Society and National Society of Scotland .	a2	A	simply_church	up of representatives of the <span class='hit'>Church</span> of England , Church of	Church	NR	participation	institution	NR
church/N/br-b12/2221	The New Testament offered to the public today is the first result of the work of a joint committee made up of representatives of the Church of England , Church of Scotland , Methodist Church , Congregational Union , Baptist Union , Presbyterian Church of England , Churches in Wales , Churches in Ireland , Society of Friends , British and Foreign Bible Society and National Society of Scotland .	a2	A	simply_church	the Church of England , <span class='hit'>Church</span> of Scotland , Methodist Church	Church	NR	participation	institution	NR
church/N/br-b12/2226	The New Testament offered to the public today is the first result of the work of a joint committee made up of representatives of the Church of England , Church of Scotland , Methodist Church , Congregational Union , Baptist Union , Presbyterian Church of England , Churches in Wales , Churches in Ireland , Society of Friends , British and Foreign Bible Society and National Society of Scotland .	a2	A	compound_church	NA	NA	NR	NR	institution	NR
church/N/br-b12/2235	The New Testament offered to the public today is the first result of the work of a joint committee made up of representatives of the Church of England , Church of Scotland , Methodist Church , Congregational Union , Baptist Union , Presbyterian Church of England , Churches in Wales , Churches in Ireland , Society of Friends , British and Foreign Bible Society and National Society of Scotland .	a2	A	compound_church	NA	NA	NR	NR	institution	NR
church/N/br-b12/2239	The New Testament offered to the public today is the first result of the work of a joint committee made up of representatives of the Church of England , Church of Scotland , Methodist Church , Congregational Union , Baptist Union , Presbyterian Church of England , Churches in Wales , Churches in Ireland , Society of Friends , British and Foreign Bible Society and National Society of Scotland .	a2	A	simply_church	Presbyterian Church of England , <span class='hit'>Churches</span> in Wales , Churches in	Churches	NR	NR	institution	NR
church/N/br-b12/2243	The New Testament offered to the public today is the first result of the work of a joint committee made up of representatives of the Church of England , Church of Scotland , Methodist Church , Congregational Union , Baptist Union , Presbyterian Church of England , Churches in Wales , Churches in Ireland , Society of Friends , British and Foreign Bible Society and National Society of Scotland .	a2	A	simply_church	, Churches in Wales , <span class='hit'>Churches</span> in Ireland , Society of	Churches	NR	NR	institution	NR
church/N/br-b15/1190	Thanks to the generosity of Mr. Irving J. Fain , president of the Temple Beth El ; Rev. DeWitt Clemens , pastor of the Mathewson Street Methodist Church ; Mr. Felix Miranda , of the Imperial Knife Co. ; and to Mrs. Rozella Switzer , regional director of The National Conference of Christians and Jews , who asked them to serve as a committee for the fund .	c2	C	compound_church	NA	NA	congregation	NR	hierarchy	NR
church/N/br-b16/1946	and Sen. Douglas . But when you write to Congresswoman Church , bless her heart , your letter is answered fully and completely .	NA	NA	compound_church	NA	NA	NR	NR	NR	NR
church/N/br-b18/1829	At a recent meeting of the Women 's Association of the Trumbull Ave. United Presbyterian Church , considerable use was made of material from The Detroit News on the King James version of the New Testament versus the New English Bible .	c2	C	compound_church	NA	NA	congregation	participation	assembly	NR
church/N/br-b22/1005	The Council we now know will concern itself directly only with the internal affairs of the Church . As it has turned out , however , the	a2	A	simply_church	the internal affairs of the <span class='hit'>Church</span> . As it has turned	Church	NR	NR	institution	NR
church/N/br-b22/1077	First of all , it is now known that Pope John sees the renewal and purification of the Church as an absolutely necessary step toward Christian unity . Far	a2	A	simply_church	renewal and purification of the <span class='hit'>Church</span> as an absolutely necessary step	Church	NR	believers	NR	NR
church/N/br-b22/1102	Far from being irrelevant to the ecumenical task , the Pontiff believes that a revivified Church is required in order that the whole world may see Catholicism in the best possible light .	a1	A	simply_church	Pontiff believes that a revivified <span class='hit'>Church</span> is required in order that	Church	NR	believers	assembly	NR
church/N/br-b22/1154	A major aim of the Council will be to remove as far as possible whatever in the Church today stands in the way of unity . Secondly ,	a1	A	simply_church	as possible whatever in the <span class='hit'>Church</span> today stands in the way	Church	NR	believers	institution	NR
church/N/br-b22/1193	Secondly , a whole series of addresses and actions by the Pope and by others show that concern for Christian unity is still very much alive and growing within the Church . The establishment , by the Holy Father , of	a2	A	simply_church	alive and growing within the <span class='hit'>Church</span> . The establishment , by	Church	NR	believers	institution	NR
church/N/br-b22/1233	The designation of five Catholic theologians to attend the World Council of Churches assembly in New Delhi as `` official '' observers reverses the Church 's earlier stand .	a2	A	simply_church	attend the World Council of <span class='hit'>Churches</span> assembly in New Delhi as	Churches	NR	NR	institution	NR
church/N/br-b22/1245	The designation of five Catholic theologians to attend the World Council of Churches assembly in New Delhi as `` official '' observers reverses the Church 's earlier stand . The public appeal by the new	a2	A	simply_church	official '' observers reverses the <span class='hit'>Church</span> 's earlier stand . The	Church	NR	NR	agentivity	doctrine
church/N/br-b22/1318	Augustin Cardinal Bea , the director of the Secretariate for Christian Unity , has expressed as directly as anyone the new spirit that pervades the Church 's stance toward the Protestant and Orthodox Churches . Noting	a2	A	simply_church	new spirit that pervades the <span class='hit'>Church</span> 's stance toward the Protestant	Church	NR	NR	agentivity	doctrine
church/N/br-b22/1326	Augustin Cardinal Bea , the director of the Secretariate for Christian Unity , has expressed as directly as anyone the new spirit that pervades the Church 's stance toward the Protestant and Orthodox Churches . Noting all the difficulties that stand in the way	a2	A	simply_church	toward the Protestant and Orthodox <span class='hit'>Churches</span> . Noting all the difficulties	Churches	NR	NR	institution	NR
church/N/br-b24/1259	less native . Sometimes they get their initial experience in church haflis , conducted by Lebanese and Syrians in the U. S. , where they dance with just as few veils across their bodies as in nightclubs .	b1	B	church_compound	NA	NA	congregation	participation	NR	NR
church/N/br-c08/1853	Tracing the blues from its African roots among the slaves who were brought to this country and the West Indies , he stressed the close relationship between the early jazz forms and the music of the Negro churches . To help him on this religious aspect of primitive	c2	C	compound_church	NA	NA	congregation	participation	NR	NR
church/N/br-d01/1628	When we see the steady and methodical inculcation into humanity of the idea of man 's worthlessness - until redeemed - the necessity of the Devil may become evident as a weapon , a weapon designed and used time and time again in every age to whip men into a surrender to a particular church or church-state '' . Apparently he does not intend that	a2	A	simply_church	a surrender to a particular <span class='hit'>church</span> or church-state '' . Apparently	church	NR	NR	institution	NR
church/N/br-d02/1641	Although they have also been concerned to stand squarely within the tradition of the apostolic church , they have exhibited no willingness whatever to sacrifice their modernity to their Christianity .	a2	A	simply_church	the tradition of the apostolic <span class='hit'>church</span> , they have exhibited no	church	NR	NR	institution	doctrine
church/N/br-d02/548	The same thing is also evidenced by the extreme `` culture Protestantism '' so often observed to characterize the preaching and teaching of the American churches . In the absence of a truly adequate conceptuality in	b	B	simply_church	and teaching of the American <span class='hit'>churches</span> . In the absence of	churches	NR	participation	institution	evangelism
church/N/br-d02/706	However , even if the latent demand for demythologization is not nearly as widespread as we are claiming , at least among the cultured elements of the population there tends to be an almost complete indifference to the church and its traditional message of sin and grace . To	a2	A	simply_church	almost complete indifference to the <span class='hit'>church</span> and its traditional message of	church	NR	NR	agentivity	doctrine
church/N/br-d02/786	afford the luxury of such smug indignation ? Can the church risk assuming that the `` folly '' of men is as dear to God as their `` wisdom '' , or , as is also commonly implied , that `` the foolishness of God '' and `` the foolishness of men '' are simply two ways of talking about the same thing ?	a2	A	church_compound	NA	NA	NR	NR	agentivity	NR
church/N/br-d02/877	? There is an ancient and venerable tradition in the church ( which derives , however , from the heritage of the Greeks rather than from the Bible ) that God is completely independent of his creation and so has no need of men for accomplishing his work in the world .	a2	A	simply_church	and venerable tradition in the <span class='hit'>church</span> ( which derives , however	church	NR	NR	institution	doctrine
church/N/br-d02/923	his work in the world . by analogy , the church also has been regarded as entirely independent of the `` world '' in the sense of requiring nothing from it in order to be the church .	a1	A	simply_church	. by analogy , the <span class='hit'>church</span> also has been regarded as	church	NR	NR	institution	NR
church/N/br-d02/949	by analogy , the church also has been regarded as entirely independent of the `` world '' in the sense of requiring nothing from it in order to be the church . But , as Scripture everywhere reminds us , God	a1	A	simply_church	in order to be the <span class='hit'>church</span> . But , as Scripture	church	NR	NR	institution	NR
church/N/br-d02/969	But , as Scripture everywhere reminds us , God does have need of his creatures , and the church , a fortiori , can ill afford to do without the talents with which the world , by God 's providence , presents it .	a1	A	simply_church	his creatures , and the <span class='hit'>church</span> , a fortiori , can	church	NR	believers	agentivity	NR
church/N/br-d03/1011	sale of 764 chapels '' . Most of these former churches are now used as warehouses , but `` neither Anglicans nor Nonconformists object to selling churches to Roman Catholics '' , and have done so .	c1	C	simply_church	. Most of these former <span class='hit'>churches</span> are now used as warehouses	churches	material object	NR	NR	NR
church/N/br-d03/1027	Most of these former churches are now used as warehouses , but `` neither Anglicans nor Nonconformists object to selling churches to Roman Catholics '' , and have done so .	c1	C	simply_church	nor Nonconformists object to selling <span class='hit'>churches</span> to Roman Catholics '' ,	churches	material object	NR	NR	NR
church/N/br-d03/1051	While it must be said that these same Protestants have built some new churches during this period , and that religious population shifts have emptied churches , a principal reason for this phenomenon of redundancy is that fewer Protestants are going to church .	c1	C	simply_church	Protestants have built some new <span class='hit'>churches</span> during this period , and	churches	material object	NR	NR	NR
church/N/br-d03/1063	While it must be said that these same Protestants have built some new churches during this period , and that religious population shifts have emptied churches , a principal reason for this phenomenon of redundancy is that fewer Protestants are going to church .	c3	C	simply_church	religious population shifts have emptied <span class='hit'>churches</span> , a principal reason for	churches	place	participation	NR	NR
church/N/br-d03/1080	While it must be said that these same Protestants have built some new churches during this period , and that religious population shifts have emptied churches , a principal reason for this phenomenon of redundancy is that fewer Protestants are going to church . It should be admitted , too , that there	c3	C	simply_church	fewer Protestants are going to <span class='hit'>church</span> . It should be admitted	church	activity	participation	NR	practice
church/N/br-d03/110	The Church Unity Octave , January 18 - 25 , was enthusiastically devoted to prayer and discussion by the various churches . Many people seem hopeful , yet it is difficult	a2	A	simply_church	and discussion by the various <span class='hit'>churches</span> . Many people seem hopeful	churches	congregation	participation	NR	NR
church/N/br-d03/1342	It has been my experience to find as many men as women in church , and to hear almost everyone in church congregations reciting the Latin prayers and responses at Mass .	c3	C	simply_church	many men as women in <span class='hit'>church</span> , and to hear almost	church	activity	participation	NR	practice
church/N/br-d03/1350	It has been my experience to find as many men as women in church , and to hear almost everyone in church congregations reciting the Latin prayers and responses at Mass .	c3	C	church_compound	NA	NA	activity	participation	NR	practice
church/N/br-d03/1472	'' . A hymn often to be heard in Catholic churches is `` Faith of our Fathers '' , which glories in England 's ancient faith that endured persecution , and which proclaims : `` Faith of our Fathers : Mary 's prayers / Shall win our country back to thee '' .	c3	C	simply_church	to be heard in Catholic <span class='hit'>churches</span> is `` Faith of our	churches	activity	participation	NR	practice
church/N/br-d03/1870	The general tone of articles appearing in such important newspapers as the Manchester Guardian and the Sunday Observer implies a kindly recognition that the Catholic Church is now at least of equal stature in England with the Protestant churches .	a2	A	compound_church	NA	NA	NR	NR	institution	NR
church/N/br-d03/1883	The general tone of articles appearing in such important newspapers as the Manchester Guardian and the Sunday Observer implies a kindly recognition that the Catholic Church is now at least of equal stature in England with the Protestant churches . On successive Sundays during October , 1960 , Paul	b	B	simply_church	in England with the Protestant NA . On successive Sundays during	NA	NR	NR	institution	NR
church/N/br-d03/1908	On successive Sundays during October , 1960 , Paul Ferris ( a non-Catholic ) wrote articles in the Observer depicting clergymen of the Church of England , the Church of Rome and the Nonconformist Church .	a2	A	simply_church	Observer depicting clergymen of the NA of England , the Church	NA	NR	membership	institution	NR
church/N/br-d03/1913	On successive Sundays during October , 1960 , Paul Ferris ( a non-Catholic ) wrote articles in the Observer depicting clergymen of the Church of England , the Church of Rome and the Nonconformist Church . The Catholic priest	a2	A	simply_church	Church of England , the NA of Rome and the Nonconformist	NA	NR	membership	institution	NR
church/N/br-d03/1919	On successive Sundays during October , 1960 , Paul Ferris ( a non-Catholic ) wrote articles in the Observer depicting clergymen of the Church of England , the Church of Rome and the Nonconformist Church . The Catholic priest , though somewhat superficially drawn ,	a2	A	compound_church	NA	NA	NR	membership	institution	NR
church/N/br-d03/2021	There was so much interest shown in this present-day venture that it was continued on B.B.C. , where comments were equally made by an Anglican parson , a Free Church minister and a Catholic priest . Catholic priests have frequently	a2	A	compound_church	NA	NA	NR	NR	hierarchy	NR
church/N/br-d03/2096	. The good feeling which exists between these two important church figures is now well known in England . The Holy	a2	A	church_compound	NA	NA	NR	membership	hierarchy	NR
church/N/br-d03/2335	Almost daily something is reported which feeds this Catholic hope in England : statistics of the increasing numbers of converts and Irish Catholic immigrants ; news of a Protestant minister in Leamington who has offered to allow a Catholic priest to preach from his pulpit ; a report that a Catholic nun had been requested to teach in a non-Catholic secondary school during the sickness of one of its masters ; the startling statement in a respectable periodical that `` Catholics , if the present system is still in operation , will constitute almost one-third of the House of Lords in the next generation '' ; a report that 200 Protestant clergymen and laity attended a votive Mass offered for Christian unity at a Catholic church in Slough during the Church Unity Octave .	c1	C	simply_church	Christian unity at a Catholic NA in Slough during the Church	NA	place	NR	NR	NR
church/N/br-d03/2340	Almost daily something is reported which feeds this Catholic hope in England : statistics of the increasing numbers of converts and Irish Catholic immigrants ; news of a Protestant minister in Leamington who has offered to allow a Catholic priest to preach from his pulpit ; a report that a Catholic nun had been requested to teach in a non-Catholic secondary school during the sickness of one of its masters ; the startling statement in a respectable periodical that `` Catholics , if the present system is still in operation , will constitute almost one-third of the House of Lords in the next generation '' ; a report that 200 Protestant clergymen and laity attended a votive Mass offered for Christian unity at a Catholic church in Slough during the Church Unity Octave .	a1	A	church_compound	NA	NA	NR	NR	institution	NR
church/N/br-d03/313	In representing part of this new picture , I will be recounting some of my own personal experiences , reactions and judgments ; but my primary aim is to transcribe what Englishmen themselves are saying and writing and implying about the Roman and Anglican Churches and about the present religious state of England . Since	a2	A	simply_church	about the Roman and Anglican <span class='hit'>Churches</span> and about the present religious	Churches	NR	NR	institution	NR
church/N/br-d03/35	Representing as it did the efforts of only unauthorized individuals of the Roman and Anglican Churches , and urging a communion of prayer unacceptable to Rome , this association produced little fruit , and , in fact , was condemned by the Holy Office in 1864 .	a2	A	simply_church	of the Roman and Anglican <span class='hit'>Churches</span> , and urging a communion	Churches	NR	membership	institution	NR
church/N/br-d03/721	A Protestant woman marveled to me over the large crowds going in and out of the Birmingham Oratory ( Catholic ) Church on Sunday mornings . She found this a marvel because	c1	C	simply_church	Birmingham Oratory ( Catholic ) <span class='hit'>Church</span> on Sunday mornings . She	Church	place	NR	NR	practice
church/N/br-d03/779	than ten . From many sides come remarks that Protestant churches are badly attended and the large medieval cathedrals look all but empty during services .	c1	C	simply_church	sides come remarks that Protestant <span class='hit'>churches</span> are badly attended and the	churches	material object	NR	NR	NR
