broadsense	building	count10coha	count10semcor	count5coha	count5semcor	file	sense	supersense	token_id	wf	window10	window10coha	window10semcor	window5	window5coha	window5semcor
congregation	False	9.0	9.0	5.0	5.0	br-a10	b	B	church/N/br-a10/1918	churches	Brandt suggested the vision of 8000 new Assemblies of God <em>churches</em> in the next 10 years . To accomplish this would	<span style="font-size:17px">Brandt</span> <span style="font-size:17px">suggested</span> the <span style="font-size:17px">vision</span> of 8000 <span style="font-size:17px">new</span> <span style="font-size:17px">Assemblies</span> of <span style="font-size:17px">God</span> <em>churches</em> in the <span style="font-size:17px">next</span> 10 <span style="font-size:17px">years</span> . To <span style="font-size:17px">accomplish</span> this would	<span style="font-size:17px">Brandt</span> <span style="font-size:17px">suggested</span> the <span style="font-size:17px">vision</span> of 8000 <span style="font-size:17px">new</span> <span style="font-size:17px">Assemblies</span> of <span style="font-size:17px">God</span> <em>churches</em> in the <span style="font-size:17px">next</span> 10 <span style="font-size:17px">years</span> . To <span style="font-size:17px">accomplish</span> this would	8000 new Assemblies of God <em>churches</em> in the next 10 years	8000 <span style="font-size:17px">new</span> <span style="font-size:17px">Assemblies</span> of <span style="font-size:17px">God</span> <em>churches</em> in the <span style="font-size:17px">next</span> 10 <span style="font-size:17px">years</span>	8000 <span style="font-size:17px">new</span> <span style="font-size:17px">Assemblies</span> of <span style="font-size:17px">God</span> <em>churches</em> in the <span style="font-size:17px">next</span> 10 <span style="font-size:17px">years</span>
organization	False	8.0	8.0	3.0	3.0	br-a10	a2	A	church/N/br-a10/1940	church	some changes in methods , he said . `` The <em>church</em> 's ability to change her methods is going to determine	some <span style="font-size:17px">changes</span> in <span style="font-size:17px">methods</span> , he <span style="font-size:17px">said</span> . `` The <em>church</em> 's <span style="font-size:17px">ability</span> to <span style="font-size:17px">change</span> her <span style="font-size:17px">methods</span> <span style="font-size:17px">is</span> <span style="font-size:17px">going</span> to <span style="font-size:17px">determine</span>	some <span style="font-size:17px">changes</span> in <span style="font-size:17px">methods</span> , he <span style="font-size:17px">said</span> . `` The <em>church</em> 's <span style="font-size:17px">ability</span> to <span style="font-size:17px">change</span> her <span style="font-size:17px">methods</span> <span style="font-size:17px">is</span> <span style="font-size:17px">going</span> to <span style="font-size:17px">determine</span>	he said . `` The <em>church</em> 's ability to change her	he <span style="font-size:17px">said</span> . `` The <em>church</em> 's <span style="font-size:17px">ability</span> to <span style="font-size:17px">change</span> her	he <span style="font-size:17px">said</span> . `` The <em>church</em> 's <span style="font-size:17px">ability</span> to <span style="font-size:17px">change</span> her
congregation	False	12.0	12.0	6.0	6.0	br-a10	b	B	church/N/br-a10/1980	churches	Encouraging by every means , all existing Assemblies of God <em>churches</em> to start new churches . Engaging mature , experienced men	<span style="font-size:17px">Encouraging</span> by every <span style="font-size:17px">means</span> , all <span style="font-size:17px">existing</span> <span style="font-size:17px">Assemblies</span> of <span style="font-size:17px">God</span> <em>churches</em> to <span style="font-size:17px">start</span> <span style="font-size:17px">new</span> <span style="font-size:17px">churches</span> . <span style="font-size:17px">Engaging</span> <span style="font-size:17px">mature</span> , <span style="font-size:17px">experienced</span> <span style="font-size:17px">men</span>	<span style="font-size:17px">Encouraging</span> by every <span style="font-size:17px">means</span> , all <span style="font-size:17px">existing</span> <span style="font-size:17px">Assemblies</span> of <span style="font-size:17px">God</span> <em>churches</em> to <span style="font-size:17px">start</span> <span style="font-size:17px">new</span> <span style="font-size:17px">churches</span> . <span style="font-size:17px">Engaging</span> <span style="font-size:17px">mature</span> , <span style="font-size:17px">experienced</span> <span style="font-size:17px">men</span>	all existing Assemblies of God <em>churches</em> to start new churches .	all <span style="font-size:17px">existing</span> <span style="font-size:17px">Assemblies</span> of <span style="font-size:17px">God</span> <em>churches</em> to <span style="font-size:17px">start</span> <span style="font-size:17px">new</span> <span style="font-size:17px">churches</span> .	all <span style="font-size:17px">existing</span> <span style="font-size:17px">Assemblies</span> of <span style="font-size:17px">God</span> <em>churches</em> to <span style="font-size:17px">start</span> <span style="font-size:17px">new</span> <span style="font-size:17px">churches</span> .
congregation	False	12.0	12.0	7.0	7.0	br-a10	b	B	church/N/br-a10/1984	churches	, all existing Assemblies of God churches to start new <em>churches</em> . Engaging mature , experienced men to pioneer or open	, all <span style="font-size:17px">existing</span> <span style="font-size:17px">Assemblies</span> of <span style="font-size:17px">God</span> <span style="font-size:17px">churches</span> to <span style="font-size:17px">start</span> <span style="font-size:17px">new</span> <em>churches</em> . <span style="font-size:17px">Engaging</span> <span style="font-size:17px">mature</span> , <span style="font-size:17px">experienced</span> <span style="font-size:17px">men</span> to <span style="font-size:17px">pioneer</span> or <span style="font-size:17px">open</span>	, all <span style="font-size:17px">existing</span> <span style="font-size:17px">Assemblies</span> of <span style="font-size:17px">God</span> <span style="font-size:17px">churches</span> to <span style="font-size:17px">start</span> <span style="font-size:17px">new</span> <em>churches</em> . <span style="font-size:17px">Engaging</span> <span style="font-size:17px">mature</span> , <span style="font-size:17px">experienced</span> <span style="font-size:17px">men</span> to <span style="font-size:17px">pioneer</span> or <span style="font-size:17px">open</span>	God churches to start new <em>churches</em> . Engaging mature , experienced	<span style="font-size:17px">God</span> <span style="font-size:17px">churches</span> to <span style="font-size:17px">start</span> <span style="font-size:17px">new</span> <em>churches</em> . <span style="font-size:17px">Engaging</span> <span style="font-size:17px">mature</span> , <span style="font-size:17px">experienced</span>	<span style="font-size:17px">God</span> <span style="font-size:17px">churches</span> to <span style="font-size:17px">start</span> <span style="font-size:17px">new</span> <em>churches</em> . <span style="font-size:17px">Engaging</span> <span style="font-size:17px">mature</span> , <span style="font-size:17px">experienced</span>
congregation	False	14.0	14.0	6.0	6.0	br-a10	b	B	church/N/br-a10/1996	churches	Engaging mature , experienced men to pioneer or open new <em>churches</em> in strategic population centers . Surrounding pioneer pastors with vocational	<span style="font-size:17px">Engaging</span> <span style="font-size:17px">mature</span> , <span style="font-size:17px">experienced</span> <span style="font-size:17px">men</span> to <span style="font-size:17px">pioneer</span> or <span style="font-size:17px">open</span> <span style="font-size:17px">new</span> <em>churches</em> in <span style="font-size:17px">strategic</span> <span style="font-size:17px">population</span> <span style="font-size:17px">centers</span> . <span style="font-size:17px">Surrounding</span> <span style="font-size:17px">pioneer</span> <span style="font-size:17px">pastors</span> with <span style="font-size:17px">vocational</span>	<span style="font-size:17px">Engaging</span> <span style="font-size:17px">mature</span> , <span style="font-size:17px">experienced</span> <span style="font-size:17px">men</span> to <span style="font-size:17px">pioneer</span> or <span style="font-size:17px">open</span> <span style="font-size:17px">new</span> <em>churches</em> in <span style="font-size:17px">strategic</span> <span style="font-size:17px">population</span> <span style="font-size:17px">centers</span> . <span style="font-size:17px">Surrounding</span> <span style="font-size:17px">pioneer</span> <span style="font-size:17px">pastors</span> with <span style="font-size:17px">vocational</span>	to pioneer or open new <em>churches</em> in strategic population centers .	to <span style="font-size:17px">pioneer</span> or <span style="font-size:17px">open</span> <span style="font-size:17px">new</span> <em>churches</em> in <span style="font-size:17px">strategic</span> <span style="font-size:17px">population</span> <span style="font-size:17px">centers</span> .	to <span style="font-size:17px">pioneer</span> or <span style="font-size:17px">open</span> <span style="font-size:17px">new</span> <em>churches</em> in <span style="font-size:17px">strategic</span> <span style="font-size:17px">population</span> <span style="font-size:17px">centers</span> .
congregation	False	8.0	8.0	4.0	4.0	br-a10	b	B	church/N/br-a10/2022	churches	will be urged to move into the area of new <em>churches</em> in the interest of lending their support to the new	will <span style="font-size:17px">be</span> <span style="font-size:17px">urged</span> to <span style="font-size:17px">move</span> into the <span style="font-size:17px">area</span> of <span style="font-size:17px">new</span> <em>churches</em> in the <span style="font-size:17px">interest</span> of <span style="font-size:17px">lending</span> their <span style="font-size:17px">support</span> to the <span style="font-size:17px">new</span>	will <span style="font-size:17px">be</span> <span style="font-size:17px">urged</span> to <span style="font-size:17px">move</span> into the <span style="font-size:17px">area</span> of <span style="font-size:17px">new</span> <em>churches</em> in the <span style="font-size:17px">interest</span> of <span style="font-size:17px">lending</span> their <span style="font-size:17px">support</span> to the <span style="font-size:17px">new</span>	into the area of new <em>churches</em> in the interest of lending	into the <span style="font-size:17px">area</span> of <span style="font-size:17px">new</span> <em>churches</em> in the <span style="font-size:17px">interest</span> of <span style="font-size:17px">lending</span>	into the <span style="font-size:17px">area</span> of <span style="font-size:17px">new</span> <em>churches</em> in the <span style="font-size:17px">interest</span> of <span style="font-size:17px">lending</span>
congregation	False	8.0	12.0	4.0	7.0	br-a10	b	B	church/N/br-a10/2051	churches	spend from 6 - 12 months as apprentices in well-established <em>churches</em> . U. S. Dist. Judge Charles L. Powell denied all	<span style="font-size:17px">spend</span> from 6 - 12 <span style="font-size:17px">months</span> as <span style="font-size:17px">apprentices</span> in well-established <em>churches</em> . U. <span style="font-size:17px">S.</span> Dist. <span style="font-size:17px">Judge</span> <span style="font-size:17px">Charles</span> L. <span style="font-size:17px">Powell</span> <span style="font-size:17px">denied</span> all	<span style="font-size:17px">spend</span> from 6 - 12 <span style="font-size:17px">months</span> as <span style="font-size:17px">apprentices</span> in <span style="font-size:17px">well-established</span> <em>churches</em> . <span style="font-size:17px">U.</span> <span style="font-size:17px">S.</span> <span style="font-size:17px">Dist.</span> <span style="font-size:17px">Judge</span> <span style="font-size:17px">Charles</span> <span style="font-size:17px">L.</span> <span style="font-size:17px">Powell</span> <span style="font-size:17px">denied</span> all	months as apprentices in well-established <em>churches</em> . U. S. Dist. Judge	<span style="font-size:17px">months</span> as <span style="font-size:17px">apprentices</span> in well-established <em>churches</em> . U. <span style="font-size:17px">S.</span> Dist. <span style="font-size:17px">Judge</span>	<span style="font-size:17px">months</span> as <span style="font-size:17px">apprentices</span> in <span style="font-size:17px">well-established</span> <em>churches</em> . <span style="font-size:17px">U.</span> <span style="font-size:17px">S.</span> <span style="font-size:17px">Dist.</span> <span style="font-size:17px">Judge</span>
building	True	7.0	8.0	3.0	4.0	br-a16	c1	C	church/N/br-a16/453	church	a small one at noon tomorrow in St. Bernadine 's <em>church</em> , Forest Park . A small reception will follow in	a <span style="font-size:17px">small</span> one at <span style="font-size:17px">noon</span> tomorrow in St. <span style="font-size:17px">Bernadine</span> 's <em>church</em> , <span style="font-size:17px">Forest</span> <span style="font-size:17px">Park</span> . A <span style="font-size:17px">small</span> <span style="font-size:17px">reception</span> will <span style="font-size:17px">follow</span> in	a <span style="font-size:17px">small</span> one at <span style="font-size:17px">noon</span> tomorrow in <span style="font-size:17px">St.</span> <span style="font-size:17px">Bernadine</span> 's <em>church</em> , <span style="font-size:17px">Forest</span> <span style="font-size:17px">Park</span> . A <span style="font-size:17px">small</span> <span style="font-size:17px">reception</span> will <span style="font-size:17px">follow</span> in	tomorrow in St. Bernadine 's <em>church</em> , Forest Park . A	tomorrow in St. <span style="font-size:17px">Bernadine</span> 's <em>church</em> , <span style="font-size:17px">Forest</span> <span style="font-size:17px">Park</span> . A	tomorrow in <span style="font-size:17px">St.</span> <span style="font-size:17px">Bernadine</span> 's <em>church</em> , <span style="font-size:17px">Forest</span> <span style="font-size:17px">Park</span> . A
building	True	10.0	11.0	6.0	6.0	br-a17	c1	C	church/N/br-a17/2228	church	Jr. seated guests . A reception was held at the <em>church</em> . The First Christian Church of Pampa was the setting	Jr. <span style="font-size:17px">seated</span> <span style="font-size:17px">guests</span> . A <span style="font-size:17px">reception</span> <span style="font-size:17px">was</span> <span style="font-size:17px">held</span> at the <em>church</em> . The <span style="font-size:17px">First</span> <span style="font-size:17px">Christian</span> <span style="font-size:17px">Church</span> of <span style="font-size:17px">Pampa</span> <span style="font-size:17px">was</span> the <span style="font-size:17px">setting</span>	<span style="font-size:17px">Jr.</span> <span style="font-size:17px">seated</span> <span style="font-size:17px">guests</span> . A <span style="font-size:17px">reception</span> <span style="font-size:17px">was</span> <span style="font-size:17px">held</span> at the <em>church</em> . The <span style="font-size:17px">First</span> <span style="font-size:17px">Christian</span> <span style="font-size:17px">Church</span> of <span style="font-size:17px">Pampa</span> <span style="font-size:17px">was</span> the <span style="font-size:17px">setting</span>	reception was held at the <em>church</em> . The First Christian Church	<span style="font-size:17px">reception</span> <span style="font-size:17px">was</span> <span style="font-size:17px">held</span> at the <em>church</em> . The <span style="font-size:17px">First</span> <span style="font-size:17px">Christian</span> <span style="font-size:17px">Church</span>	<span style="font-size:17px">reception</span> <span style="font-size:17px">was</span> <span style="font-size:17px">held</span> at the <em>church</em> . The <span style="font-size:17px">First</span> <span style="font-size:17px">Christian</span> <span style="font-size:17px">Church</span>
congregation	False	9.0	11.0	4.0	6.0	br-a18	c2	C	church/N/br-a18/760	Church	party . The women 's committee of St. David 's <em>Church</em> will hold its annual pre-Fair pink parade , a dessert	<span style="font-size:17px">party</span> . The <span style="font-size:17px">women</span> 's <span style="font-size:17px">committee</span> of St. <span style="font-size:17px">David</span> 's <em>Church</em> will <span style="font-size:17px">hold</span> its <span style="font-size:17px">annual</span> pre-Fair <span style="font-size:17px">pink</span> <span style="font-size:17px">parade</span> , a <span style="font-size:17px">dessert</span>	<span style="font-size:17px">party</span> . The <span style="font-size:17px">women</span> 's <span style="font-size:17px">committee</span> of <span style="font-size:17px">St.</span> <span style="font-size:17px">David</span> 's <em>Church</em> will <span style="font-size:17px">hold</span> its <span style="font-size:17px">annual</span> <span style="font-size:17px">pre-Fair</span> <span style="font-size:17px">pink</span> <span style="font-size:17px">parade</span> , a <span style="font-size:17px">dessert</span>	committee of St. David 's <em>Church</em> will hold its annual pre-Fair	<span style="font-size:17px">committee</span> of St. <span style="font-size:17px">David</span> 's <em>Church</em> will <span style="font-size:17px">hold</span> its <span style="font-size:17px">annual</span> pre-Fair	<span style="font-size:17px">committee</span> of <span style="font-size:17px">St.</span> <span style="font-size:17px">David</span> 's <em>Church</em> will <span style="font-size:17px">hold</span> its <span style="font-size:17px">annual</span> <span style="font-size:17px">pre-Fair</span>
congregation	False	9.0	10.0	6.0	6.0	br-a31	b	B	church/N/br-a31/1594	churches	than 300 top teenagers and 65 adult advisers from Presbyterian <em>churches</em> of the area sat enthralled at the four-hour program .	than 300 <span style="font-size:17px">top</span> <span style="font-size:17px">teenagers</span> and 65 <span style="font-size:17px">adult</span> <span style="font-size:17px">advisers</span> from <span style="font-size:17px">Presbyterian</span> <em>churches</em> of the <span style="font-size:17px">area</span> <span style="font-size:17px">sat</span> <span style="font-size:17px">enthralled</span> at the four-hour <span style="font-size:17px">program</span> .	than 300 <span style="font-size:17px">top</span> <span style="font-size:17px">teenagers</span> and 65 <span style="font-size:17px">adult</span> <span style="font-size:17px">advisers</span> from <span style="font-size:17px">Presbyterian</span> <em>churches</em> of the <span style="font-size:17px">area</span> <span style="font-size:17px">sat</span> <span style="font-size:17px">enthralled</span> at the <span style="font-size:17px">four-hour</span> <span style="font-size:17px">program</span> .	65 adult advisers from Presbyterian <em>churches</em> of the area sat enthralled	65 <span style="font-size:17px">adult</span> <span style="font-size:17px">advisers</span> from <span style="font-size:17px">Presbyterian</span> <em>churches</em> of the <span style="font-size:17px">area</span> <span style="font-size:17px">sat</span> <span style="font-size:17px">enthralled</span>	65 <span style="font-size:17px">adult</span> <span style="font-size:17px">advisers</span> from <span style="font-size:17px">Presbyterian</span> <em>churches</em> of the <span style="font-size:17px">area</span> <span style="font-size:17px">sat</span> <span style="font-size:17px">enthralled</span>
