	c.nvj.5_5.ppmi_count	c.nvj.5_5.ppmi_cws	c.nvj.5_5.ppmi_weights	c.nvj.10_10.ppmi_count	c.nvj.10_10.ppmi_cws	c.nvj.10_10.ppmi_weights	c.nvj.5_5.noweight_count	c.nvj.5_5.noweight_cws	c.nvj.10_10.noweight_count	c.nvj.10_10.noweight_cws	c.nvjid.5_5.ppmi_count	c.nvjid.5_5.ppmi_cws	c.nvjid.5_5.ppmi_weights	c.nvjid.10_10.ppmi_count	c.nvjid.10_10.ppmi_cws	c.nvjid.10_10.ppmi_weights	c.nvjid.5_5.noweight_count	c.nvjid.5_5.noweight_cws	c.nvjid.10_10.noweight_count	c.nvjid.10_10.noweight_cws	c.none.5_5.ppmi_count	c.none.5_5.ppmi_cws	c.none.5_5.ppmi_weights	c.none.10_10.ppmi_count	c.none.10_10.ppmi_cws	c.none.10_10.ppmi_weights	c.none.5_5.noweight_count	c.none.5_5.noweight_cws	c.none.10_10.noweight_count	c.none.10_10.noweight_cws	s.nvj.5_5.ppmi_count	s.nvj.5_5.ppmi_cws	s.nvj.5_5.ppmi_weights	s.nvj.10_10.ppmi_count	s.nvj.10_10.ppmi_cws	s.nvj.10_10.ppmi_weights	s.nvj.5_5.noweight_count	s.nvj.5_5.noweight_cws	s.nvj.10_10.noweight_count	s.nvj.10_10.noweight_cws	s.nvjid.5_5.ppmi_count	s.nvjid.5_5.ppmi_cws	s.nvjid.5_5.ppmi_weights	s.nvjid.10_10.ppmi_count	s.nvjid.10_10.ppmi_cws	s.nvjid.10_10.ppmi_weights	s.nvjid.5_5.noweight_count	s.nvjid.5_5.noweight_cws	s.nvjid.10_10.noweight_count	s.nvjid.10_10.noweight_cws	s.none.5_5.ppmi_count	s.none.5_5.ppmi_cws	s.none.5_5.ppmi_weights	s.none.10_10.ppmi_count	s.none.10_10.ppmi_cws	s.none.10_10.ppmi_weights	s.none.5_5.noweight_count	s.none.5_5.noweight_cws	s.none.10_10.noweight_count	s.none.10_10.noweight_cws
church/N/br-b08/1912	2	leadership/N;write/V	0.925722;0.30728322	3	become/V;leadership/N;write/V	0.4076772;0.925722;0.30728322	3	benefit/V;leadership/N;write/V	6	become/V;benefit/V;leadership/N;ordinary/J;time/N;write/V	2	leadership/N;write/V	0.925722;0.30728322	6	become/V;beyond/I;for/I;leadership/N;the/D;write/V	0.4076772;0.52344656;0.08600023;0.925722;0.6102459;0.30728322	3	benefit/V;leadership/N;write/V	10	become/V;benefit/V;beyond/I;for/I;leadership/N;ordinary/J;that/I;the/D;time/N;write/V	3	leadership/N;should/M;write/V	0.925722;0.07013529;0.30728322	7	become/V;beyond/I;for/I;leadership/N;should/M;the/D;write/V	0.4076772;0.52344656;0.08600023;0.925722;0.07013529;0.6102459;0.30728322	6	benefit/V;he/P;his/P;leadership/N;should/M;write/V	13	become/V;benefit/V;beyond/I;for/I;he/P;his/P;leadership/N;ordinary/J;should/M;that/I;the/D;time/N;write/V	3	benefit/V;leadership/N;write/V	2.3728356;2.3429828;0.40508786	3	benefit/V;leadership/N;write/V	2.3728356;2.3429828;0.40508786	3	benefit/V;leadership/N;write/V	6	become/V;benefit/V;leadership/N;ordinary/J;time/N;write/V	3	benefit/V;leadership/N;write/V	2.3728356;2.3429828;0.40508786	6	benefit/V;beyond/I;leadership/N;that/I;the/D;write/V	2.3728356;0.7276797;2.3429828;0.14680238;0.5460644;0.40508786	3	benefit/V;leadership/N;write/V	10	become/V;benefit/V;beyond/I;for/I;leadership/N;ordinary/J;that/I;the/D;time/N;write/V	4	benefit/V;leadership/N;should/M;write/V	2.3728356;2.3429828;0.65397286;0.40508786	7	benefit/V;beyond/I;leadership/N;should/M;that/I;the/D;write/V	2.3728356;0.7276797;2.3429828;0.65397286;0.14680238;0.5460644;0.40508786	6	benefit/V;he/P;his/P;leadership/N;should/M;write/V	13	become/V;benefit/V;beyond/I;for/I;he/P;his/P;leadership/N;ordinary/J;should/M;that/I;the/D;time/N;write/V
church/N/br-b08/2063	4	america/N;interview/N;leader/N;several/N	1.0314004;0.78271466;1.3397875;0.4400632	1	god/N	0.9892099	3	believer/N;life/N;take/V	7	believer/N;do/V;give/N;give/V;god/N;life/N;take/V	4	a/D;of/I;the/D;upon/I	0.10114131;0.48038787;0.6102459;0.14086077	5	a/D;god/N;of/I;the/D;upon/I	0.10114131;0.9892099;0.48038787;0.6102459;0.14086077	7	a/D;believer/N;life/N;of/I;take/V;the/D;upon/I	11	a/D;believer/N;do/V;give/N;give/V;god/N;life/N;of/I;take/V;the/D;upon/I	4	a/D;of/I;the/D;upon/I	0.10114131;0.48038787;0.6102459;0.14086077	6	a/D;and/C;god/N;of/I;the/D;upon/I	0.10114131;0.28445822;0.9892099;0.48038787;0.6102459;0.14086077	10	a/D;believer/N;himself/P;his/P;life/N;of/I;take/V;the/D;to/T;upon/I	16	a/D;and/C;believer/N;do/V;give/N;give/V;god/N;he/P;himself/P;his/P;life/N;of/I;take/V;the/D;to/T;upon/I	3	believer/N;life/N;take/V	3.6721187;0.8252732;0.23822112	5	believer/N;give/N;god/N;life/N;take/V	3.6721187;4.365266;1.1676137;0.8252732;0.23822112	3	believer/N;life/N;take/V	7	believer/N;do/V;give/N;give/V;god/N;life/N;take/V	6	believer/N;life/N;of/I;take/V;the/D;upon/I	3.6721187;0.8252732;0.49506077;0.23822112;0.5460644;0.45157763	8	believer/N;give/N;god/N;life/N;of/I;take/V;the/D;upon/I	3.6721187;4.365266;1.1676137;0.8252732;0.49506077;0.23822112;0.5460644;0.45157763	7	a/D;believer/N;life/N;of/I;take/V;the/D;upon/I	11	a/D;believer/N;do/V;give/N;give/V;god/N;life/N;of/I;take/V;the/D;upon/I	8	believer/N;himself/P;life/N;of/I;take/V;the/D;to/T;upon/I	3.6721187;0.55687654;0.8252732;0.49506077;0.23822112;0.5460644;0.026933488;0.45157763	11	and/C;believer/N;give/N;god/N;himself/P;life/N;of/I;take/V;the/D;to/T;upon/I	0.19365685;3.6721187;4.365266;1.1676137;0.55687654;0.8252732;0.49506077;0.23822112;0.5460644;0.026933488;0.45157763	10	a/D;believer/N;himself/P;his/P;life/N;of/I;take/V;the/D;to/T;upon/I	16	a/D;and/C;believer/N;do/V;give/N;give/V;god/N;he/P;himself/P;his/P;life/N;of/I;take/V;the/D;to/T;upon/I
church/N/br-b08/2363	4	america/N;interview/N;leader/N;several/N	1.0314004;0.78271466;1.3397875;0.4400632	2	home/N;saint/N	1.1434228;2.5535302	3	be/V;give/V;rest/N	7	be/V;give/V;home/N;little/J;love/N;rest/N;saint/N	2	a/D;the/D	0.10114131;0.6102459	5	a/D;for/I;home/N;saint/N;the/D	0.10114131;0.08600023;1.1434228;2.5535302;0.6102459	5	a/D;be/V;give/V;rest/N;the/D	10	a/D;be/V;for/I;give/V;home/N;little/J;love/N;rest/N;saint/N;the/D	3	a/D;the/D;truly/R	0.10114131;0.6102459;0.38004878	6	a/D;for/I;home/N;saint/N;the/D;truly/R	0.10114131;0.08600023;1.1434228;2.5535302;0.6102459;0.38004878	9	a/D;be/V;give/V;him/P;not/R;rest/N;the/D;truly/R;we/P	16	a/D;be/V;but/C;for/I;give/V;him/P;home/N;how/W;little/J;love/N;not/R;rest/N;saint/N;the/D;truly/R;we/P	1	rest/N	0.96406853	4	home/N;little/J;rest/N;saint/N	0.8108707;0.2792896;0.96406853;2.5735064	3	be/V;give/V;rest/N	7	be/V;give/V;home/N;little/J;love/N;rest/N;saint/N	2	rest/N;the/D	0.96406853;0.5460644	5	home/N;little/J;rest/N;saint/N;the/D	0.8108707;0.2792896;0.96406853;2.5735064;0.5460644	5	a/D;be/V;give/V;rest/N;the/D	10	a/D;be/V;for/I;give/V;home/N;little/J;love/N;rest/N;saint/N;the/D	3	rest/N;the/D;truly/R	0.96406853;0.5460644;1.7576501	6	home/N;little/J;rest/N;saint/N;the/D;truly/R	0.8108707;0.2792896;0.96406853;2.5735064;0.5460644;1.7576501	9	a/D;be/V;give/V;him/P;not/R;rest/N;the/D;truly/R;we/P	16	a/D;be/V;but/C;for/I;give/V;him/P;home/N;how/W;little/J;love/N;not/R;rest/N;saint/N;the/D;truly/R;we/P
church/N/br-b08/834	1	leave/V	0.11238049	1	leave/V	0.11238049	2	feeling/N;leave/V	8	be/V;continue/V;feeling/N;great/J;have/V;leave/V;lift/V;weight/N	2	a/D;leave/V	0.10114131;0.11238049	2	a/D;leave/V	0.10114131;0.11238049	6	a/D;feeling/N;leave/V;that/I;this/D;with/I	12	a/D;be/V;continue/V;feeling/N;great/J;have/V;leave/V;lift/V;that/I;this/D;weight/N;with/I	2	a/D;leave/V	0.10114131;0.11238049	2	a/D;leave/V	0.10114131;0.11238049	7	a/D;feeling/N;i/P;leave/V;that/I;this/D;with/I	15	a/D;be/V;continue/V;feeling/N;great/J;have/V;he/P;i/P;leave/V;lift/V;that/I;this/D;tonight/R;weight/N;with/I	1	feeling/N	1.1823628	3	continue/V;feeling/N;have/V	0.1715789;1.1823628;0.046398625	2	feeling/N;leave/V	8	be/V;continue/V;feeling/N;great/J;have/V;leave/V;lift/V;weight/N	4	feeling/N;that/I;this/D;with/I	1.1823628;0.14680238;0.19430329;0.013190952	6	continue/V;feeling/N;have/V;that/I;this/D;with/I	0.1715789;1.1823628;0.046398625;0.14680238;0.19430329;0.013190952	6	a/D;feeling/N;leave/V;that/I;this/D;with/I	12	a/D;be/V;continue/V;feeling/N;great/J;have/V;leave/V;lift/V;that/I;this/D;weight/N;with/I	4	feeling/N;that/I;this/D;with/I	1.1823628;0.14680238;0.19430329;0.013190952	6	continue/V;feeling/N;have/V;that/I;this/D;with/I	0.1715789;1.1823628;0.046398625;0.14680238;0.19430329;0.013190952	7	a/D;feeling/N;i/P;leave/V;that/I;this/D;with/I	15	a/D;be/V;continue/V;feeling/N;great/J;have/V;he/P;i/P;leave/V;lift/V;that/I;this/D;tonight/R;weight/N;with/I
church/N/br-b12/2009	4	angel/N;biblical/J;phrase/N;scholar/N	0.68572646;1.1035107;0.2388836;0.48547703	7	angel/N;biblical/J;bishop/N;mean/V;old/J;phrase/N;scholar/N	0.68572646;1.1035107;3.169505;0.05708171;0.74334437;0.2388836;0.48547703	5	angel/N;biblical/J;have/V;phrase/N;scholar/N	9	angel/N;biblical/J;bishop/N;have/V;interpret/V;mean/V;old/J;phrase/N;scholar/N	6	angel/N;biblical/J;of/I;phrase/N;scholar/N;the/D	0.68572646;1.1035107;0.48038787;0.2388836;0.48547703;0.6102459	9	angel/N;biblical/J;bishop/N;mean/V;of/I;old/J;phrase/N;scholar/N;the/D	0.68572646;1.1035107;3.169505;0.05708171;0.48038787;0.74334437;0.2388836;0.48547703;0.6102459	7	angel/N;biblical/J;have/V;of/I;phrase/N;scholar/N;the/D	12	angel/N;as/I;biblical/J;bishop/N;have/V;interpret/V;mean/V;of/I;old/J;phrase/N;scholar/N;the/D	7	angel/N;biblical/J;of/I;phrase/N;scholar/N;the/D;which/W	0.68572646;1.1035107;0.48038787;0.2388836;0.48547703;0.6102459;0.20593883	11	angel/N;biblical/J;bishop/N;mean/V;of/I;old/J;phrase/N;previously/R;scholar/N;the/D;which/W	0.68572646;1.1035107;3.169505;0.05708171;0.48038787;0.74334437;0.2388836;0.5665473;0.48547703;0.6102459;0.20593883	8	angel/N;biblical/J;have/V;of/I;phrase/N;scholar/N;the/D;which/W	15	angel/N;as/I;biblical/J;bishop/N;have/V;however/R;interpret/V;mean/V;of/I;old/J;phrase/N;previously/R;scholar/N;the/D;which/W	5	angel/N;biblical/J;have/V;phrase/N;scholar/N	1.7749988;2.755828;0.046398625;2.0626807;2.328384	8	angel/N;biblical/J;bishop/N;have/V;mean/V;old/J;phrase/N;scholar/N	1.7749988;2.755828;2.4385872;0.046398625;1.2576941;0.9961327;2.0626807;2.328384	5	angel/N;biblical/J;have/V;phrase/N;scholar/N	9	angel/N;biblical/J;bishop/N;have/V;interpret/V;mean/V;old/J;phrase/N;scholar/N	7	angel/N;biblical/J;have/V;of/I;phrase/N;scholar/N;the/D	1.7749988;2.755828;0.046398625;0.49506077;2.0626807;2.328384;0.5460644	11	angel/N;as/I;biblical/J;bishop/N;have/V;mean/V;of/I;old/J;phrase/N;scholar/N;the/D	1.7749988;0.43140614;2.755828;2.4385872;0.046398625;1.2576941;0.49506077;0.9961327;2.0626807;2.328384;0.5460644	7	angel/N;biblical/J;have/V;of/I;phrase/N;scholar/N;the/D	12	angel/N;as/I;biblical/J;bishop/N;have/V;interpret/V;mean/V;of/I;old/J;phrase/N;scholar/N;the/D	8	angel/N;biblical/J;have/V;of/I;phrase/N;scholar/N;the/D;which/W	1.7749988;2.755828;0.046398625;0.49506077;2.0626807;2.328384;0.5460644;0.12730211	13	angel/N;as/I;biblical/J;bishop/N;have/V;however/R;mean/V;of/I;old/J;phrase/N;scholar/N;the/D;which/W	1.7749988;0.43140614;2.755828;2.4385872;0.046398625;0.6238994;1.2576941;0.49506077;0.9961327;2.0626807;2.328384;0.5460644;0.12730211	8	angel/N;biblical/J;have/V;of/I;phrase/N;scholar/N;the/D;which/W	15	angel/N;as/I;biblical/J;bishop/N;have/V;however/R;interpret/V;mean/V;of/I;old/J;phrase/N;previously/R;scholar/N;the/D;which/W
church/N/br-b12/2217	3	church/N;england/N;representative/N	2.6875765;2.3398652;0.9102221	5	church/N;england/N;methodist/J;representative/N;scotland/N	2.6875765;2.3398652;5.3980627;0.9102221;2.5879333	5	church/N;england/N;of/N;representative/N;up/V	10	church/N;committee/N;england/N;joint/J;make/V;methodist/J;of/N;representative/N;scotland/N;up/V	5	church/N;england/N;of/I;representative/N;the/D	2.6875765;2.3398652;0.48038787;0.9102221;0.6102459	8	a/D;church/N;england/N;methodist/J;of/I;representative/N;scotland/N;the/D	0.10114131;2.6875765;2.3398652;5.3980627;0.48038787;0.9102221;2.5879333;0.6102459	7	church/N;england/N;of/I;of/N;representative/N;the/D;up/V	13	a/D;church/N;committee/N;england/N;joint/J;make/V;methodist/J;of/I;of/N;representative/N;scotland/N;the/D;up/V	5	church/N;england/N;of/I;representative/N;the/D	2.6875765;2.3398652;0.48038787;0.9102221;0.6102459	8	a/D;church/N;england/N;methodist/J;of/I;representative/N;scotland/N;the/D	0.10114131;2.6875765;2.3398652;5.3980627;0.48038787;0.9102221;2.5879333;0.6102459	7	church/N;england/N;of/I;of/N;representative/N;the/D;up/V	13	a/D;church/N;committee/N;england/N;joint/J;make/V;methodist/J;of/I;of/N;representative/N;scotland/N;the/D;up/V	5	church/N;england/N;of/N;representative/N;up/V	3.080001;3.3466964;1.5447377;1.4034352;0.49106017	9	church/N;committee/N;england/N;make/V;methodist/J;of/N;representative/N;scotland/N;up/V	3.080001;0.618904;3.3466964;0.1284457;5.5974097;1.5447377;1.4034352;3.9598007;0.49106017	5	church/N;england/N;of/N;representative/N;up/V	10	church/N;committee/N;england/N;joint/J;make/V;methodist/J;of/N;representative/N;scotland/N;up/V	7	church/N;england/N;of/I;of/N;representative/N;the/D;up/V	3.080001;3.3466964;0.49506077;1.5447377;1.4034352;0.5460644;0.49106017	11	church/N;committee/N;england/N;make/V;methodist/J;of/I;of/N;representative/N;scotland/N;the/D;up/V	3.080001;0.618904;3.3466964;0.1284457;5.5974097;0.49506077;1.5447377;1.4034352;3.9598007;0.5460644;0.49106017	7	church/N;england/N;of/I;of/N;representative/N;the/D;up/V	13	a/D;church/N;committee/N;england/N;joint/J;make/V;methodist/J;of/I;of/N;representative/N;scotland/N;the/D;up/V	7	church/N;england/N;of/I;of/N;representative/N;the/D;up/V	3.080001;3.3466964;0.49506077;1.5447377;1.4034352;0.5460644;0.49106017	11	church/N;committee/N;england/N;make/V;methodist/J;of/I;of/N;representative/N;scotland/N;the/D;up/V	3.080001;0.618904;3.3466964;0.1284457;5.5974097;0.49506077;1.5447377;1.4034352;3.9598007;0.5460644;0.49106017	7	church/N;england/N;of/I;of/N;representative/N;the/D;up/V	13	a/D;church/N;committee/N;england/N;joint/J;make/V;methodist/J;of/I;of/N;representative/N;scotland/N;the/D;up/V
church/N/br-b12/2221	4	church/N;england/N;methodist/J;scotland/N	2.6875765;2.3398652;5.3980627;2.5879333	8	baptist/N;church/N;congregational/J;england/N;methodist/J;representative/N;scotland/N;union/N	5.161946;2.6875765;5.899413;2.3398652;5.3980627;0.9102221;2.5879333;0.69851774	5	church/N;england/N;methodist/J;of/N;scotland/N	11	baptist/N;church/N;congregational/J;england/N;make/V;methodist/J;of/N;representative/N;scotland/N;union/N;up/V	6	church/N;england/N;methodist/J;of/I;scotland/N;the/D	2.6875765;2.3398652;5.3980627;0.48038787;2.5879333;0.6102459	10	baptist/N;church/N;congregational/J;england/N;methodist/J;of/I;representative/N;scotland/N;the/D;union/N	5.161946;2.6875765;5.899413;2.3398652;5.3980627;0.48038787;0.9102221;2.5879333;0.6102459;0.69851774	7	church/N;england/N;methodist/J;of/I;of/N;scotland/N;the/D	13	baptist/N;church/N;congregational/J;england/N;make/V;methodist/J;of/I;of/N;representative/N;scotland/N;the/D;union/N;up/V	6	church/N;england/N;methodist/J;of/I;scotland/N;the/D	2.6875765;2.3398652;5.3980627;0.48038787;2.5879333;0.6102459	10	baptist/N;church/N;congregational/J;england/N;methodist/J;of/I;representative/N;scotland/N;the/D;union/N	5.161946;2.6875765;5.899413;2.3398652;5.3980627;0.48038787;0.9102221;2.5879333;0.6102459;0.69851774	7	church/N;england/N;methodist/J;of/I;of/N;scotland/N;the/D	13	baptist/N;church/N;congregational/J;england/N;make/V;methodist/J;of/I;of/N;representative/N;scotland/N;the/D;union/N;up/V	5	church/N;england/N;methodist/J;of/N;scotland/N	3.080001;3.3466964;5.5974097;1.5447377;3.9598007	11	baptist/N;church/N;congregational/J;england/N;make/V;methodist/J;of/N;representative/N;scotland/N;union/N;up/V	4.6754208;3.080001;3.592076;3.3466964;0.1284457;5.5974097;1.5447377;1.4034352;3.9598007;1.0271267;0.49106017	5	church/N;england/N;methodist/J;of/N;scotland/N	11	baptist/N;church/N;congregational/J;england/N;make/V;methodist/J;of/N;representative/N;scotland/N;union/N;up/V	7	church/N;england/N;methodist/J;of/I;of/N;scotland/N;the/D	3.080001;3.3466964;5.5974097;0.49506077;1.5447377;3.9598007;0.5460644	13	baptist/N;church/N;congregational/J;england/N;make/V;methodist/J;of/I;of/N;representative/N;scotland/N;the/D;union/N;up/V	4.6754208;3.080001;3.592076;3.3466964;0.1284457;5.5974097;0.49506077;1.5447377;1.4034352;3.9598007;0.5460644;1.0271267;0.49106017	7	church/N;england/N;methodist/J;of/I;of/N;scotland/N;the/D	13	baptist/N;church/N;congregational/J;england/N;make/V;methodist/J;of/I;of/N;representative/N;scotland/N;the/D;union/N;up/V	7	church/N;england/N;methodist/J;of/I;of/N;scotland/N;the/D	3.080001;3.3466964;5.5974097;0.49506077;1.5447377;3.9598007;0.5460644	13	baptist/N;church/N;congregational/J;england/N;make/V;methodist/J;of/I;of/N;representative/N;scotland/N;the/D;union/N;up/V	4.6754208;3.080001;3.592076;3.3466964;0.1284457;5.5974097;0.49506077;1.5447377;1.4034352;3.9598007;0.5460644;1.0271267;0.49106017	7	church/N;england/N;methodist/J;of/I;of/N;scotland/N;the/D	13	baptist/N;church/N;congregational/J;england/N;make/V;methodist/J;of/I;of/N;representative/N;scotland/N;the/D;union/N;up/V
church/N/br-b12/2239	3	church/N;england/N;presbyterian/J	2.6875765;2.3398652;5.5534663	7	baptist/N;church/N;england/N;ireland/N;presbyterian/J;society/N;union/N	5.161946;2.6875765;2.3398652;0.34425586;5.5534663;0.9737849;0.69851774	4	church/N;england/N;presbyterian/J;wales/N	10	baptist/N;church/N;england/N;friend/N;ireland/N;of/N;presbyterian/J;society/N;union/N;wales/N	5	church/N;england/N;in/I;of/I;presbyterian/J	2.6875765;2.3398652;0.5505831;0.48038787;5.5534663	9	baptist/N;church/N;england/N;in/I;ireland/N;of/I;presbyterian/J;society/N;union/N	5.161946;2.6875765;2.3398652;0.5505831;0.34425586;0.48038787;5.5534663;0.9737849;0.69851774	6	church/N;england/N;in/I;of/I;presbyterian/J;wales/N	12	baptist/N;church/N;england/N;friend/N;in/I;ireland/N;of/I;of/N;presbyterian/J;society/N;union/N;wales/N	5	church/N;england/N;in/I;of/I;presbyterian/J	2.6875765;2.3398652;0.5505831;0.48038787;5.5534663	9	baptist/N;church/N;england/N;in/I;ireland/N;of/I;presbyterian/J;society/N;union/N	5.161946;2.6875765;2.3398652;0.5505831;0.34425586;0.48038787;5.5534663;0.9737849;0.69851774	6	church/N;england/N;in/I;of/I;presbyterian/J;wales/N	12	baptist/N;church/N;england/N;friend/N;in/I;ireland/N;of/I;of/N;presbyterian/J;society/N;union/N;wales/N	4	church/N;england/N;presbyterian/J;wales/N	3.080001;3.3466964;5.463878;4.2111154	9	baptist/N;church/N;england/N;ireland/N;of/N;presbyterian/J;society/N;union/N;wales/N	4.6754208;3.080001;3.3466964;3.312116;1.5447377;5.463878;0.22266042;1.0271267;4.2111154	4	church/N;england/N;presbyterian/J;wales/N	10	baptist/N;church/N;england/N;friend/N;ireland/N;of/N;presbyterian/J;society/N;union/N;wales/N	6	church/N;england/N;in/I;of/I;presbyterian/J;wales/N	3.080001;3.3466964;0.13973331;0.49506077;5.463878;4.2111154	11	baptist/N;church/N;england/N;in/I;ireland/N;of/I;of/N;presbyterian/J;society/N;union/N;wales/N	4.6754208;3.080001;3.3466964;0.13973331;3.312116;0.49506077;1.5447377;5.463878;0.22266042;1.0271267;4.2111154	6	church/N;england/N;in/I;of/I;presbyterian/J;wales/N	12	baptist/N;church/N;england/N;friend/N;in/I;ireland/N;of/I;of/N;presbyterian/J;society/N;union/N;wales/N	6	church/N;england/N;in/I;of/I;presbyterian/J;wales/N	3.080001;3.3466964;0.13973331;0.49506077;5.463878;4.2111154	11	baptist/N;church/N;england/N;in/I;ireland/N;of/I;of/N;presbyterian/J;society/N;union/N;wales/N	4.6754208;3.080001;3.3466964;0.13973331;3.312116;0.49506077;1.5447377;5.463878;0.22266042;1.0271267;4.2111154	6	church/N;england/N;in/I;of/I;presbyterian/J;wales/N	12	baptist/N;church/N;england/N;friend/N;in/I;ireland/N;of/I;of/N;presbyterian/J;society/N;union/N;wales/N
church/N/br-b12/2243	3	church/N;ireland/N;society/N	2.6875765;0.34425586;0.9737849	5	church/N;england/N;ireland/N;presbyterian/J;society/N	2.6875765;2.3398652;0.34425586;5.5534663;0.9737849	5	church/N;ireland/N;of/N;society/N;wales/N	10	british/J;church/N;england/N;foreign/N;friend/N;ireland/N;of/N;presbyterian/J;society/N;wales/N	4	church/N;in/I;ireland/N;society/N	2.6875765;0.5505831;0.34425586;0.9737849	7	church/N;england/N;in/I;ireland/N;of/I;presbyterian/J;society/N	2.6875765;2.3398652;0.5505831;0.34425586;0.48038787;5.5534663;0.9737849	6	church/N;in/I;ireland/N;of/N;society/N;wales/N	12	british/J;church/N;england/N;foreign/N;friend/N;in/I;ireland/N;of/I;of/N;presbyterian/J;society/N;wales/N	4	church/N;in/I;ireland/N;society/N	2.6875765;0.5505831;0.34425586;0.9737849	8	and/C;church/N;england/N;in/I;ireland/N;of/I;presbyterian/J;society/N	0.28445822;2.6875765;2.3398652;0.5505831;0.34425586;0.48038787;5.5534663;0.9737849	6	church/N;in/I;ireland/N;of/N;society/N;wales/N	13	and/C;british/J;church/N;england/N;foreign/N;friend/N;in/I;ireland/N;of/I;of/N;presbyterian/J;society/N;wales/N	5	church/N;ireland/N;of/N;society/N;wales/N	3.080001;3.312116;1.5447377;0.22266042;4.2111154	7	church/N;england/N;ireland/N;of/N;presbyterian/J;society/N;wales/N	3.080001;3.3466964;3.312116;1.5447377;5.463878;0.22266042;4.2111154	5	church/N;ireland/N;of/N;society/N;wales/N	10	british/J;church/N;england/N;foreign/N;friend/N;ireland/N;of/N;presbyterian/J;society/N;wales/N	6	church/N;in/I;ireland/N;of/N;society/N;wales/N	3.080001;0.13973331;3.312116;1.5447377;0.22266042;4.2111154	9	church/N;england/N;in/I;ireland/N;of/I;of/N;presbyterian/J;society/N;wales/N	3.080001;3.3466964;0.13973331;3.312116;0.49506077;1.5447377;5.463878;0.22266042;4.2111154	6	church/N;in/I;ireland/N;of/N;society/N;wales/N	12	british/J;church/N;england/N;foreign/N;friend/N;in/I;ireland/N;of/I;of/N;presbyterian/J;society/N;wales/N	6	church/N;in/I;ireland/N;of/N;society/N;wales/N	3.080001;0.13973331;3.312116;1.5447377;0.22266042;4.2111154	10	and/C;church/N;england/N;in/I;ireland/N;of/I;of/N;presbyterian/J;society/N;wales/N	0.19365685;3.080001;3.3466964;0.13973331;3.312116;0.49506077;1.5447377;5.463878;0.22266042;4.2111154	6	church/N;in/I;ireland/N;of/N;society/N;wales/N	13	and/C;british/J;church/N;england/N;foreign/N;friend/N;in/I;ireland/N;of/I;of/N;presbyterian/J;society/N;wales/N
church/N/br-b22/1005	2	affair/N;internal/J	1.1797082;0.3794396	3	affair/N;concern/V;internal/J	1.1797082;0.24195743;0.3794396	4	affair/N;have/V;internal/J;turn/V	5	affair/N;concern/V;have/V;internal/J;turn/V	4	affair/N;internal/J;of/I;the/D	1.1797082;0.3794396;0.48038787;0.6102459	5	affair/N;concern/V;internal/J;of/I;the/D	1.1797082;0.24195743;0.3794396;0.48038787;0.6102459	7	affair/N;as/I;have/V;internal/J;of/I;the/D;turn/V	9	affair/N;as/I;concern/V;have/V;internal/J;of/I;the/D;turn/V;with/I	4	affair/N;internal/J;of/I;the/D	1.1797082;0.3794396;0.48038787;0.6102459	6	affair/N;concern/V;internal/J;itself/P;of/I;the/D	1.1797082;0.24195743;0.3794396;0.56647384;0.48038787;0.6102459	8	affair/N;as/I;have/V;internal/J;it/P;of/I;the/D;turn/V	15	affair/N;as/I;concern/V;directly/R;have/V;however/R;internal/J;it/P;itself/P;of/I;only/R;out/R;the/D;turn/V;with/I	4	affair/N;have/V;internal/J;turn/V	1.3207434;0.046398625;1.7026781;0.48324403	4	affair/N;have/V;internal/J;turn/V	1.3207434;0.046398625;1.7026781;0.48324403	4	affair/N;have/V;internal/J;turn/V	5	affair/N;concern/V;have/V;internal/J;turn/V	7	affair/N;as/I;have/V;internal/J;of/I;the/D;turn/V	1.3207434;0.43140614;0.046398625;1.7026781;0.49506077;0.5460644;0.48324403	8	affair/N;as/I;have/V;internal/J;of/I;the/D;turn/V;with/I	1.3207434;0.43140614;0.046398625;1.7026781;0.49506077;0.5460644;0.48324403;0.013190952	7	affair/N;as/I;have/V;internal/J;of/I;the/D;turn/V	9	affair/N;as/I;concern/V;have/V;internal/J;of/I;the/D;turn/V;with/I	7	affair/N;as/I;have/V;internal/J;of/I;the/D;turn/V	1.3207434;0.43140614;0.046398625;1.7026781;0.49506077;0.5460644;0.48324403	10	affair/N;as/I;have/V;however/R;internal/J;itself/P;of/I;the/D;turn/V;with/I	1.3207434;0.43140614;0.046398625;0.6238994;1.7026781;1.1890657;0.49506077;0.5460644;0.48324403;0.013190952	8	affair/N;as/I;have/V;internal/J;it/P;of/I;the/D;turn/V	15	affair/N;as/I;concern/V;directly/R;have/V;however/R;internal/J;it/P;itself/P;of/I;only/R;out/R;the/D;turn/V;with/I
