cw	ppmi
bring/V	0.0
broken/J	2.2450023
brother/N	1.069429
buck/N	3.3844366
budget/N	1.5126345
build/V	0.33872443
building/N	0.48027158
burgeon/V	4.365266
bury/V	2.8248208
bus/N	1.9375176
businesslike/J	6.1570253
but/C	0.0
by/I	0.17278127
cafe/N	2.4681458
call/V	0.0
can/M	0.027757322
cannot/M	0.23276958
canon/N	4.770731
capacious/J	5.463878
captivity/N	4.770731
car/N	0.0
career/N	1.3863407
carefully/R	2.113974
carlson/N	4.365266
catch/V	0.8408681
catholic/J	4.3446465
catholic/N	1.9826381
catt/N	4.077584
cemetery/N	2.8989289
centennial/N	4.365266
center/N	1.1825931
central/J	1.0212269
central/N	2.2450023
century/N	0.90632385
ceremony/N	2.9381495
certain/J	0.018434761
certainly/R	0.8194873
change/V	0.5460895
chapel/N	3.75913
characteristic/J	2.029891
characteristically/R	4.365266
chiefly/R	2.6306648
child/N	0.0
christ/N	2.4483433
christian/J	3.359744
christian/N	2.6342006
church-state/N	4.770731
church/N	3.080001
circle/N	1.5320525
city/N	0.9991202
civic/J	2.5735064
civil/J	1.2168125
claim/N	1.1331449
claimant/N	3.161293
class/N	0.9420896
classical/J	2.2858243
clergyman/N	2.6306648
clerical/J	3.3844366
climb/V	2.4193559
clock/N	2.029891
co-optation/N	3.3844366
cognizance/N	4.770731
collapse/V	2.8989289
come/V	0.0
command/V	2.2858243
commitment/N	2.5407166
committee/N	0.618904
communion/N	3.2666535
complete/J	0.66808766
complete/V	1.3530043
concern/N	1.7875775
conclave/N	4.770731
concur/V	3.6721187
concurrence/N	4.365266
condemn/V	3.0659828
condition/N	0.3339795
conduct/N	3.112503
conduct/V	1.1097368
confine/V	2.9789715
conformity/N	3.9598007
confusion/N	1.9375176
congregation/N	2.328384
congregational/J	3.592076
congresswoman/N	5.463878
connection/N	1.4385265
consider/V	0.019298319
considerable/J	1.4086211
constantine/N	3.6721187
constantly/R	2.8248208
constitutional/J	2.5194392
contact/N	1.3049951
contemporary/J	1.7026781
continence/N	5.463878
continue/V	0.1715789
contraception/N	4.077584
contribution/N	1.5518552
conversation/N	1.7026781
conviction/N	1.7503061
corner/N	1.5126345
could/M	0.0
council/N	2.2858243
country/N	0.0
county/N	1.1233248
creature/N	2.9381495
crossroads/N	3.2666535
d.-/N	1.3432163
dan/N	3.592076
dark/J	0.8687583
david/N	1.7503061
deacon/N	4.5475874
death/N	0.20482154
decay/N	3.161293
declare/V	1.2297717
decline/N	2.697559
decline/V	2.6306648
decry/V	4.077584
dedication/N	2.5735064
deem/V	3.0659828
deeper/R	4.770731
defense/N	0.8004391
degree/N	1.4656775
delhi/N	3.8544402
demolish/V	4.770731
denomination/N	2.2858243
denominational/J	4.365266
depict/V	2.755828
derive/V	1.6572157
desire/N	1.3530043
desire/V	2.2057817
deteriorate/V	3.6721187
development/N	4.6388133e-05
devoted/J	2.5194392
devotion/N	3.2666535
die/V	0.5359001
different/J	0.113442875
difficult/J	1.4208269
difficulty/N	1.069429
dinner/N	1.2591856
discipline/N	2.755828
disclose/V	2.5194392
discussion/N	0.9865414
dispense/V	4.077584
dissenter/N	5.463878
dist./N	4.365266
distance/N	0.97524184
distinction/N	1.9085301
do/V	0.0
doaty/N	2.8248208
doctor/N	0.73649037
dollar/N	0.7762068
door/N	0.0
down/R	0.0
dramatic/J	1.6661444
draw/N	4.5083666
drop/V	0.77436686
during/I	1.1633328
dutch/N	3.3970153
duty/N	2.5597131
dynamic/J	2.9789715
each/D	0.0
early/J	1.138863
early/R	1.0510799
earnestly/R	3.517968
eastern/J	2.4681458
easy/J	1.2987646
ecclesiastical/J	4.077584
economic/J	0.4485871
effective/J	1.6158605
effort/N	0.13600202
emphasize/V	1.9375176
empire/N	2.5194392
empty/V	3.161293
encourage/V	1.2591856
engage/V	1.6796886
england/N	3.3466964
ensue/V	3.517968
enter/V	0.5151183
enthral/J	5.463878
entire/J	0.8891672
entitle/V	1.8529602
entrance/N	1.6639047
environs/N	4.365266
episcopal/J	4.770731
establishment/N	1.7026781
etc./F	2.2057817
evangelism/N	3.2666535
even/R	0.42822513
eventually/R	1.826292
ever/R	0.6944656
every/D	0.56603837
everybody/N	1.3530043
everyone/N	1.2370445
evident/J	2.5194392
evil/N	2.5194392
exclude/V	2.1680412
excommunicate/V	4.770731
exercise/V	2.029891
exhibit/V	2.2057817
exist/V	1.5126345
existing/J	1.9375176
expect/V	0.6855954
expense/N	1.3931435
experience/J	3.517968
experience/N	1.1881385
experience/V	1.8529602
explicit/J	2.8989289
express/V	0.80991787
facility/N	1.2011983
fact/N	0.6965892
failure/N	1.456545
faith/N	1.7061726
fall/V	0.42045307
family/N	1.4935863
far/J	0.97524184
fatality/N	4.365266
fate/N	2.4681458
father/N	1.8164719
federal/N	1.7026781
feel/V	0.07938313
feeling/N	1.1823628
felix/N	1.9981422
fellowship/N	3.3844366
few/N	0.36645377
fewer/J	3.161293
field/N	0.0
figure/N	0.71894604
fill/V	0.81277907
find/V	0.4837021
finger/N	1.2591856
first/N	3.161293
first/R	1.1300794
fishkill/N	5.463878
flash/N	2.4193559
follow/V	0.8620469
foot/N	0.0
for/I	0.0
for/R	0.0
forbid/V	2.6912894
force/N	0.0
forest/N	1.7749988
formal/J	2.1680412
former/J	1.712024
fortiori/R	5.463878
fourth/J	1.5518552
francesco/N	5.463878
free/N	3.6721187
freewheeler/N	5.463878
frescoed/J	5.463878
friendly/J	1.7749988
from/I	0.0
from/R	0.77712804
front/N	0.9865414
frontier/N	2.6306648
further/J	1.7749988
general/J	0.14282134
george/N	0.9366695
get/V	0.0
give/N	4.365266
give/V	0.0
gnaw/N	4.770731
go/V	0.29282618
goal/N	1.3049951
god/N	1.1676137
good/J	0.0
graveyard/N	3.6721187
great/J	0.0
great/N	2.029891
green/N	1.9981422
ground/N	0.40763238
group/N	0.2945312
grow/V	0.27092135
growing/J	1.8529602
guest/N	1.3207434
haflis/N	5.463878
half-hour/N	3.161293
have/M	0.0
have/V	0.046398625
he/P	0.0
headless/J	4.770731
hear/V	1.1450577
heart/N	0.4499151
help/V	0.67222846
her/P	0.0
here/R	0.0
hierarchy/N	3.517968
high/J	0.62759626
him/P	0.0
himself/P	0.55687654
his/P	0.0
history/N	0.22743623
hold/V	1.1816719
home/N	0.8108707
hopeful/J	3.517968
hour/N	0.6492578
house/N	0.0
houston/N	2.2450023
how/R	2.6306648
how/W	0.0
however/R	0.6238994
i/P	0.0
if/I	0.0
ill-starred/J	4.077584
illinois/N	1.9085301
illumine/V	3.8544402
immediately/R	1.0498685
immoral/J	3.8544402
implication/N	2.3728356
important/J	0.0
imprison/V	4.077584
in/I	0.13973331
in/J	0.0
in/R	0.2855181
include/V	0.4734456
increase/N	0.69319355
indictment/N	2.8989289
indifference/N	3.0659828
indignation/N	3.3844366
initial/J	1.620134
insight/N	2.2450023
insincere/J	5.463878
install/V	1.9673706
instruct/V	2.5735064
integration/N	1.7503061
intelligently/R	4.4706264
interest/N	0.5944225
internal/J	1.7026781
interview/N	1.5802547
intimately/R	4.077584
into/I	0.61497784
invest/V	3.2666535
invite/V	1.9981422
involved/J	1.5947627
ireland/N	3.312116
irene/N	4.770731
irish/J	2.2858243
issue/V	1.5164881
it/P	0.0
its/P	0.6785099
itself/P	1.1890657
ivy/N	4.365266
january/N	1.9085301
jesus/N	1.3530043
john/N	1.2107508
join/V	2.57536
judge/N	1.2011983
just/R	0.0
justinian/N	4.365266
kill/V	0.97749156
kind/R	1.1071694
kindly/J	4.770731
know/J	1.3863407
know/V	0.0
largest/J	2.5735064
last/J	0.05178581
last/N	3.0659828
last/V	2.2858243
late/J	0.6747212
lately/R	3.517968
later/R	0.74092495
latin/J	2.3415132
latter/N	1.826292
laugh/V	1.3530043
law/N	0.0
lawyer/N	1.7749988
lay/J	4.365266
layman/N	3.517968
lead/N	1.8529602
leader/N	2.3356566
leadership/N	2.3429828
lean/V	1.7503061
least/R	0.6763865
leave/V	0.0
lebanese/J	4.770731
lecture/N	2.4681458
lend/V	2.6306648
lessen/V	3.3844366
life/N	0.8252732
light/N	0.0
like/I	0.56119937
like/R	1.1331449
line/N	0.0
little/J	0.2792896
live/V	0.0
local/J	2.0555634
look/V	0.0
lord/N	0.9786183
lose/V	1.1136003
lower/J	2.0626807
loyalty/N	2.5194392
luke/N	4.077584
lutheran/J	5.463878
m./N	2.4193559
main/N	3.161293
majestic/J	3.517968
major/J	1.159813
major/N	1.9981422
majority/N	1.6137305
make/V	0.1284457
malaria/N	4.365266
man/N	0.0
many/J	0.42045307
many/N	0.52700907
mary's/N	4.770731
mathewson/N	5.463878
mature/J	2.4681458
may/M	0.017787583
me/P	0.0
mean/V	1.2576941
measure/N	1.2502702
meet/V	0.69743985
meeting/N	0.6040658
member/N	2.413421
membership/N	3.6233284
memory/N	1.2742234
mention/V	0.9979701
message/N	1.2894909
method/N	1.0781085
methodist/J	5.5974097
methodist/N	5.058413
metropolitan/J	3.1285033
miami/N	2.3728356
middle-class/J	2.6912894
middle/N	1.3579345
mike/N	0.9205834
million/N	0.80991787
minister/N	1.3695337
minority/N	2.6306648
miracle/N	2.6912894
miranda/N	4.077584
miss/N	0.35189041
mission/N	3.119329
missionary/N	3.8544402
modern/J	0.61969113
monday/N	1.2443705
money/N	0.27092135
month/N	0.98729926
moral/J	1.3049951
more/J	0.72025126
more/R	0.0
morning/N	1.3612348
mortgage/N	2.9789715
most/J	1.5578732
most/N	1.8529602
most/R	0.0
mother/N	0.24894243
mound/N	3.161293
mount/V	1.8803593
mountain/N	1.3863407
move/V	0.0
mr.-/N	0.111072645
mrs.-/N	0.0
much/J	0.6847547
munger/N	5.463878
museum/N	1.9673706
music/N	0.9979701
must/M	0.5098838
n't/R	0.0
naive/J	3.3844366
name/V	1.4748942
napoleon/N	3.2666535
national/J	0.55971515
native/N	2.8248208
nazarene/N	5.463878
near/J	1.7026781
necessary/J	1.159813
need/N	0.2053417
need/V	1.4048154
neglect/N	3.6721187
negro/N	1.5823144
net/J	2.5735064
new/J	1.1094798
new/N	0.16681162
newspaper/N	1.1872121
next/J	1.3419995
night/N	0.0
no/D	1.0159018
non/J	1.9085301
nonconformist/N	5.463878
none/N	1.1331449
nor/C	0.56753206
not/R	0.0
note/V	0.781747
nothing/N	0.0
now/R	0.030374555
nucleus/N	2.3728356
number/N	0.48484823
oakland/N	5.463878
obelisk/N	4.077584
object/V	2.6306648
observer/N	2.7230382
occur/V	0.7400365
octave/N	5.201514
of/I	0.49506077
of/J	0.0
of/N	1.5447377
of/R	0.0
officer/N	0.43474832
official/N	0.869769
ol/V	0.0
old/J	0.9961327
old/N	1.668389
on/I	0.0
once/R	0.0
one/C	0.15808882
one/J	0.17898385
one/N	1.281828
one/P	0.0
only/R	0.0
onr/N	4.770731
open/V	1.057159
opportunity/N	1.8896617
opposite/J	1.6417799
opposition/N	2.6016774
or/C	0.0
oratory/N	5.463878
ordain/V	4.077584
order/N	0.22213118
order/R	1.0462431
organization/N	2.5194392
orthodox/J	4.5475874
ostentatious/J	4.770731
other/J	0.0
other/P	0.0
ought/V	3.6721187
our/P	0.0
out/I	0.0
out/R	0.0
outreach/N	3.8544402
outside/I	1.1071694
outstanding/J	2.3728356
over/I	0.0
over/R	0.36401176
own/N	0.0
p.-a/N	0.97974634
painless/J	4.365266
pale/J	1.8529602
pampa/N	4.770731
papa/N	2.1316736
paper/N	0.5586034
paralysis/N	5.058413
parent/N	1.159813
park/N	1.7038416
parochial/J	2.9789715
parson/N	4.770731
particular/J	1.5252132
partly/R	2.0965824
pass/V	0.10399547
past/J	2.1962123
pastor/N	3.112503
peeling/J	5.463878
pennsylvania/N	1.7749988
people/N	0.0
per/I	0.5894445
percent/N	1.9903601
percentage/N	1.7026781
perhaps/R	0.083980836
period/N	1.2414336
periodic/J	3.3844366
perpetual/J	4.365266
person/N	0.74270433
pervade/V	4.365266
phase/N	1.2443705
philanthropic/J	4.365266
phrase/N	2.0626807
pick/V	0.8389054
picnic/N	2.755828
pioneer/V	4.365266
pittsburgh/N	2.9789715
place/N	0.24541605
place/V	0.021460483
plan/N	0.21685413
plan/V	0.9865414
planned/J	3.2666535
pledge/N	3.8544402
point/V	0.8617125
pontiff/N	5.463878
pool/N	0.7633978
poor/J	1.1331449
pope/N	2.2251997
population/N	1.7104602
position/N	0.25439203
possible/J	0.0
practical/J	1.7285924
prayer/N	1.9981422
pre-fair/J	5.463878
preacher/N	3.0659828
preparation/N	1.802884
preparatory/J	3.8544402
prepare/V	0.9865414
presbyterian/J	5.463878
present/J	0.2137012
present/V	1.3880371
presumably/R	2.2450023
prevent/V	0.8687583
priest/N	3.161293
principal/J	1.826292
probably/R	0.28603497
problem/N	0.0
process/N	1.0212269
proclaim/V	2.2450023
proclamation/N	3.2666535
produce/V	0.46666592
professor/N	1.6137305
program/N	0.8130179
prohibition/N	3.0659828
projection/N	2.755828
proportion/N	2.029891
propose/V	1.5320525
protestant/J	3.517968
protestant/N	3.5543356
provide/V	0.0
public/J	0.20794654
pull/V	0.9100013
punish/V	3.161293
purification/N	4.365266
push/V	1.1331449
put/V	0.0
quiet/J	1.5399266
quite/R	0.23437515
r.-he/N	1.5578732
rachel/N	1.6911173
ragged/J	3.3844366
ratify/V	3.8544402
read/V	0.3555114
reason/N	0.68896526
rebuild/V	3.3844366
recall/V	1.6137305
receive/V	0.10258603
recent/J	0.65821916
reception/N	2.0626807
recite/V	4.077584
recognition/N	2.2057817
reconcile/V	3.6721187
recruit/V	2.9789715
recruitment/N	3.6721187
rector/N	1.8803593
red/J	1.0141929
redundant/J	5.058413
reformed/J	4.365266
refreshment/N	4.365266
regard/V	1.1331449
register/V	2.328384
regius/N	5.463878
relieve/V	2.6912894
religion/N	0.8438194
religious/J	1.9765031
remark/N	1.5926772
remove/V	0.8389054
renewal/N	3.517968
repair/N	3.2666535
repair/V	2.8989289
representative/N	1.4034352
require/J	3.161293
require/V	0.24352236
requirement/N	1.2153829
resemblance/N	3.161293
reside/V	3.0659828
respect/V	2.6912894
rest/N	0.96406853
return/V	0.50946057
rev./N	3.161293
reveal/V	1.3695337
reverse/V	2.6306648
revivify/V	5.463878
rich/J	1.3367438
righteousness/N	3.8544402
ring/V	2.7230382
ripa/N	5.463878
rise/V	0.62759626
risk/V	3.0659828
rite/N	3.161293
river/N	0.5366245
riviera/N	4.770731
role/N	0.7294357
roll/N	2.556977
roman/J	4.046812
rome/N	3.230286
roof/N	1.456545
roughly/R	2.5735064
row/N	1.7262086
rubric/N	5.463878
s.-a/N	0.06662088
sacrament/N	4.770731
sacred/J	3.021531
safe/J	1.5926772
saint/N	2.5735064
salvation/N	2.1316736
same/J	0.68223685
san/N	1.4748942
sanction/V	4.2111154
sargent/N	4.365266
saturday/N	1.9826381
say/V	0.0
schedule/V	2.8611884
scholar/N	2.328384
school/N	0.65108424
scotland/N	3.9598007
scriptural/J	4.770731
scripture/N	2.8248208
sculpture/N	2.5735064
second/J	0.08121968
secret/J	1.8003166
see/V	0.0
seem/V	0.0
sell/V	0.8527259
semi-professionally/R	5.463878
separation/N	3.2666535
seriously/R	1.9981422
service/N	1.4638443
set/N	0.79104936
seven/C	1.52424
several/N	0.592505
sexton/N	5.463878
share/N	0.9865414
she/P	0.0
shift/N	1.9673706
shopping/N	2.5194392
should/M	0.65397286
show/V	0.0
side/N	0.33161542
sidewalk/N	2.3728356
sidney/N	4.365266
significance/N	1.5926772
since/I	0.08582586
sit/V	0.09510236
six/C	1.0944303
slate/N	3.2666535
slip/V	1.9673706
slough/N	5.463878
slumber/V	5.463878
small/J	0.16556083
smell/V	2.0626807
smoky/N	3.8544402
smug/J	3.6721187
so/R	0.0
social/J	0.0
social/N	5.463878
society/N	0.22266042
some/D	0.36492682
some/J	0.46801817
something/N	0.0
source/N	0.7453793
spanish/J	2.755828
speak/V	0.19293202
special/J	0.3105866
spire/N	4.2111154
spirit/N	0.34828246
spiritual/J	2.375111
splendid/J	2.8989289
sponsor/V	1.9673706
spur/N	3.2666535
st./N	2.1555274
stance/N	3.8544402
stand/N	1.7026781
stand/V	0.4028667
stare/V	1.3530043
start/V	0.8657326
state/N	0.0
state/V	0.96406853
statistic/N	3.517968
status/N	1.3530043
steeple/N	4.5884094
step/N	0.46801817
steps/N	2.1316736
still/R	0.0
stoicism/N	3.8544402
stone/N	1.3863407
store/N	1.2591856
storefront/N	4.770731
strategic/J	2.6306648
street/N	0.7294357
strengthen/V	2.2450023
stress/V	1.9085301
stringently/R	5.463878
study/N	0.111072645
study/V	1.3871886
style/N	1.0106944
subscribe/V	3.8544402
suburb/N	2.2450023
suburban/J	2.1316736
successive/J	3.3844366
such/N	0.8537205
sufficient/J	1.6796886
suggestion/N	1.6796886
sunday/N	3.0659828
supper/N	1.9981422
support/V	1.0818516
suppress/V	3.8544402
surrender/N	3.161293
survivor/N	2.8392096
sussex/N	5.463878
symbol/N	1.4385265
symbolism/N	3.517968
take/V	0.23822112
tall/J	1.7026781
teaching/N	1.7749988
tell/V	0.0
temple/N	2.3728356
ten/N	3.517968
tenement/N	3.8544402
th/N	0.76612884
than/I	0.0
that/I	0.14680238
that/R	0.011338721
the/D	0.5460644
the/R	0.0
their/P	0.10055366
them/P	0.0
themselves/P	0.19602004
then/R	0.0
theologian/N	2.755828
theological/J	2.9789715
there/E	0.0
these/D	0.0
they/P	0.0
thin/J	1.159813
thing/N	0.30885398
think/V	0.0
this/D	0.19430329
this/R	0.27300686
those/D	0.8748374
through/I	0.0
thus/R	0.74761397
tiber/N	4.770731
time/N	0.0
time/R	0.0
to/J	0.0
to/R	0.10611337
to/T	0.026933488
today/R	0.20638283
toll/V	5.463878
tomorrow/R	2.1316736
too/R	0.0
top/N	1.9673706
totally/R	2.6306648
touch/N	1.6137305
tour/N	1.7262086
toward/I	0.9255603
tower/N	3.3844366
tradition/N	2.319726
traditional/J	1.5126345
training/N	1.2696882
trend/N	1.5720578
trinity/N	4.077584
trip/N	1.1200727
trouble/N	0.72505164
truly/R	1.7576501
trumbull/N	5.463878
try/V	0.0
turn/V	0.48324403
twenty-eighth/J	4.365266
two/C	0.0
two/J	0.40022886
u./N	0.22743623
unanimous/J	4.077584
unbroken/J	3.517968
under/I	0.0
understanding/N	1.2153829
union/N	1.0271267
unitarian/N	3.9598007
unite/V	3.923433
united/N	0.0
unity/N	2.835593
universal/J	2.1316736
universally/R	3.8544402
university/N	1.4541237
unless/I	1.1071694
unnatural/J	4.077584
until/I	0.0
up/R	0.18321577
up/V	0.49106017
upon/I	0.45157763
upright/R	5.463878
urge/V	1.6352367
us/P	0.0
use/N	0.070705295
use/V	0.116929404
various/J	1.6366872
vast/J	1.6911173
vehicle/N	1.1611654
venerable/J	4.077584
vera/N	4.770731
verplanck/N	5.463878
very/R	0.0051441053
vigor/N	3.517968
virtually/R	2.0965824
visible/J	2.1680412
vital/J	2.4807248
vitality/N	2.8248208
vow/N	3.8544402
wake/V	2.1316736
wales/N	4.2111154
wall/N	0.22213118
wall/V	5.463878
want/V	0.78918195
warehouse/N	3.3844366
way/I	4.365266
way/N	0.0
we/P	0.0
week/N	0.36218417
well-established/J	5.463878
well-kept/J	4.077584
well/J	2.1680412
what/W	0.0
whatever/W	1.2011983
when/W	0.019606914
where/W	0.0
wherever/W	2.755828
whether/I	0.14086822
which/W	0.12730211
while/I	0.0
white/J	1.3128383
white/N	1.3897363
who/W	0.17915279
why/W	0.5115785
wide/J	0.858708
wild/J	1.9375176
will/M	0.13497774
wilson/N	2.079488
with/I	0.013190952
within/I	1.3965623
without/I	0.64091206
woman/N	0.48164237
wonder/V	1.059601
word/N	0.0
work/N	0.0
world/N	0.0
worship/N	3.6180515
would/M	0.0
wreathed/J	5.463878
write/V	0.40508786
year/N	0.0
yes/N	3.161293
you/P	0.0
your/P	0.0
